source_file,status,error,target_id,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss,gap,membership_convention,n_member,n_nonmember,fpr_resolution,meta_target_id,meta_experiment,meta_dataset,meta_architecture,meta_model_type,meta_run_id,meta_model_seed,meta_data_seed,meta_seed,meta_membership_convention,meta_attack_feature_mode,meta_learning_rate,meta_n_wires,meta_depth,meta_ql_ent,meta_ql_op,meta_fm_kind,meta_reps,meta_fm_ent,meta_fm_op,meta_pad_mode,meta_vector_train,meta_vector_valid,meta_vector_test,resource_trainable_parameters_total,resource_trainable_parameters_quantum,resource_trainable_parameters_classical,resource_trainable_parameters_unclassified,resource_quantum_gate_count_total,resource_quantum_one_qubit_gates,resource_quantum_two_qubit_gates,resource_gate_count_scope,resource_qcnn_frontend_included,experiment,role,seed,dataset,architecture,source_run_id,fm_kind,n_wires,reps,pad_mode,fm_ent,fm_op,depth,ql_ent,ql_op,ql_rev,original_acc_train,original_acc_test,original_gap,vector_train,vector_valid,vector_test,batch_size,epochs,extra_feats,model_seed,data_seed,structural_cell_id,learning_rate
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d2_s45/target_attack_data.pt,ok,,MNIST_QNN_z_r5_d2_s45,0.6499999761581421,0.8904849886894226,0.5450000166893005,1.1604015827178955,0.4050000011920929,1.404005765914917,0.2449999749660492,0=member,200,200,0.005,MNIST_QNN_z_r5_d2_s45,multiseed_factorial,mnist,qnn,qnn,326,45,43,45,0=member,pv+stats,0.05,6,2,linear,crz,z,5,none,none,wrap,200,200,200,74,46,28,0,226,216,10,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r5_d2,45,MNIST,QNN,326,z,6,5,wrap,linear,,2,linear,crz,False,0.59,0.365,0.2249999999999999,200,200,200,16,100,False,45,43,z_r5_d2,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s43/target_attack_data.pt,ok,,MNIST_QNN_z_r5_d6_s43,0.7450000047683716,0.6632264852523804,0.4749999940395355,1.3281246423721313,0.4449999928474426,1.4114223718643188,0.30000001192092896,0=member,200,200,0.005,MNIST_QNN_z_r5_d6_s43,multiseed_factorial,mnist,qnn,qnn,350,43,43,43,0=member,pv+stats,0.05,6,6,linear,crz,z,5,none,none,wrap,200,200,200,166,138,28,0,318,288,30,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r5_d6,43,MNIST,QNN,350,z,6,5,wrap,linear,,6,linear,crz,False,0.765,0.415,0.35,200,200,200,16,100,False,43,43,z_r5_d6,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s44/target_attack_data.pt,ok,,MNIST_QNN_z_r5_d6_s44,0.7450000047683716,0.7303275465965271,0.5400000214576721,1.1862646341323853,0.44999998807907104,1.3211190700531006,0.29500001668930054,0=member,200,200,0.005,MNIST_QNN_z_r5_d6_s44,multiseed_factorial,mnist,qnn,qnn,350,44,43,44,0=member,pv+stats,0.05,6,6,linear,crz,z,5,none,none,wrap,200,200,200,166,138,28,0,318,288,30,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r5_d6,44,MNIST,QNN,350,z,6,5,wrap,linear,,6,linear,crz,False,0.765,0.415,0.35,200,200,200,16,100,False,44,43,z_r5_d6,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s45/target_attack_data.pt,ok,,MNIST_QNN_z_r5_d6_s45,0.7400000095367432,0.6535331606864929,0.5350000262260437,1.193260908126831,0.4399999976158142,1.3670963048934937,0.30000001192092896,0=member,200,200,0.005,MNIST_QNN_z_r5_d6_s45,multiseed_factorial,mnist,qnn,qnn,350,45,43,45,0=member,pv+stats,0.05,6,6,linear,crz,z,5,none,none,wrap,200,200,200,166,138,28,0,318,288,30,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r5_d6,45,MNIST,QNN,350,z,6,5,wrap,linear,,6,linear,crz,False,0.765,0.415,0.35,200,200,200,16,100,False,45,43,z_r5_d6,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r1_d2_s43/target_attack_data.pt,ok,,MNIST_QNN_zz_r1_d2_s43,0.8500000238418579,0.4115450978279114,0.7400000095367432,0.6258022785186768,0.7099999785423279,0.7611862421035767,0.14000004529953003,0=member,200,200,0.005,MNIST_QNN_zz_r1_d2_s43,multiseed_factorial,mnist,qnn,qnn,902,43,43,43,0=member,pv+stats,0.05,6,2,linear,crz,zz,1,linear,none,wrap,200,200,200,74,46,28,0,127,87,40,fixed encoder plus downstream variational circuit,,multiseed_factorial,zz_r1_d2,43,MNIST,QNN,902,zz,6,1,wrap,linear,,2,linear,crz,False,0.685,0.52,0.165,200,200,200,16,100,False,43,43,zz_r1_d2,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r1_d2_s44/target_attack_data.pt,ok,,MNIST_QNN_zz_r1_d2_s44,0.7900000214576721,0.4881034791469574,0.699999988079071,0.7179691791534424,0.6700000166893005,0.7756587266921997,0.12000000476837158,0=member,200,200,0.005,MNIST_QNN_zz_r1_d2_s44,multiseed_factorial,mnist,qnn,qnn,902,44,43,44,0=member,pv+stats,0.05,6,2,linear,crz,zz,1,linear,none,wrap,200,200,200,74,46,28,0,127,87,40,fixed encoder plus downstream variational circuit,,multiseed_factorial,zz_r1_d2,44,MNIST,QNN,902,zz,6,1,wrap,linear,,2,linear,crz,False,0.685,0.52,0.165,200,200,200,16,100,False,44,43,zz_r1_d2,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r1_d2_s45/target_attack_data.pt,ok,,MNIST_QNN_zz_r1_d2_s45,0.8199999928474426,0.4535899758338928,0.7200000286102295,0.6996983885765076,0.7300000190734863,0.6812908053398132,0.0899999737739563,0=member,200,200,0.005,MNIST_QNN_zz_r1_d2_s45,multiseed_factorial,mnist,qnn,qnn,902,45,43,45,0=member,pv+stats,0.05,6,2,linear,crz,zz,1,linear,none,wrap,200,200,200,74,46,28,0,127,87,40,fixed encoder plus downstream variational circuit,,multiseed_factorial,zz_r1_d2,45,MNIST,QNN,902,zz,6,1,wrap,linear,,2,linear,crz,False,0.685,0.52,0.165,200,200,200,16,100,False,45,43,zz_r1_d2,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r1_d6_s43/target_attack_data.pt,ok,,MNIST_QNN_zz_r1_d6_s43,0.9300000071525574,0.23429469764232635,0.7649999856948853,0.6025711894035339,0.7350000143051147,0.7616719007492065,0.19499999284744263,0=member,200,200,0.005,MNIST_QNN_zz_r1_d6_s43,multiseed_factorial,mnist,qnn,qnn,926,43,43,43,0=member,pv+stats,0.05,6,6,linear,crz,zz,1,linear,none,wrap,200,200,200,166,138,28,0,219,159,60,fixed encoder plus downstream variational circuit,,multiseed_factorial,zz_r1_d6,43,MNIST,QNN,926,zz,6,1,wrap,linear,,6,linear,crz,False,0.83,0.555,0.2749999999999999,200,200,200,16,100,False,43,43,zz_r1_d6,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r1_d6_s44/target_attack_data.pt,ok,,MNIST_QNN_zz_r1_d6_s44,0.9150000214576721,0.2604043483734131,0.7250000238418579,0.6330075860023499,0.7200000286102295,0.7590102553367615,0.19499999284744263,0=member,200,200,0.005,MNIST_QNN_zz_r1_d6_s44,multiseed_factorial,mnist,qnn,qnn,926,44,43,44,0=member,pv+stats,0.05,6,6,linear,crz,zz,1,linear,none,wrap,200,200,200,166,138,28,0,219,159,60,fixed encoder plus downstream variational circuit,,multiseed_factorial,zz_r1_d6,44,MNIST,QNN,926,zz,6,1,wrap,linear,,6,linear,crz,False,0.83,0.555,0.2749999999999999,200,200,200,16,100,False,44,43,zz_r1_d6,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r1_d6_s45/target_attack_data.pt,ok,,MNIST_QNN_zz_r1_d6_s45,0.9350000023841858,0.2277899980545044,0.7599999904632568,0.6297337412834167,0.7099999785423279,0.7713661789894104,0.2250000238418579,0=member,200,200,0.005,MNIST_QNN_zz_r1_d6_s45,multiseed_factorial,mnist,qnn,qnn,926,45,43,45,0=member,pv+stats,0.05,6,6,linear,crz,zz,1,linear,none,wrap,200,200,200,166,138,28,0,219,159,60,fixed encoder plus downstream variational circuit,,multiseed_factorial,zz_r1_d6,45,MNIST,QNN,926,zz,6,1,wrap,linear,,6,linear,crz,False,0.83,0.555,0.2749999999999999,200,200,200,16,100,False,45,43,zz_r1_d6,0.05
