scheme,mode,shots,contrast,comparator_attack,reference_count,n_replicates,auc_difference_median,auc_difference_q05,auc_difference_q95,tpr_at_1pct_fpr_difference_median,tpr_at_1pct_fpr_difference_q05,tpr_at_1pct_fpr_difference_q95,tpr_at_5pct_fpr_difference_median,tpr_at_5pct_fpr_difference_q05,tpr_at_5pct_fpr_difference_q95
leave_cell_out,noisy_shot,512,affine_minus_noise_augmented,noise_augmented_lira,16,10,-0.0016311111111111387,-0.0037903333333332177,0.0005287333333333587,0.0019999999999999983,-0.0020666666666666667,0.005233333333333328,-0.0016666666666666635,-0.009666666666666665,0.0028666666666666667
leave_target_out,noisy_shot,1024,affine_minus_deconvolved_lira,deconvolved_lira,16,10,0.0116984444444444,0.008359288888888882,0.017143866666666587,0.011000000000000001,0.0021666666666666666,0.01783333333333333,0.020000000000000004,0.00943333333333333,0.02836666666666667
leave_target_out,noisy_shot,1024,affine_minus_empirical_channel,empirical_channel_lira,16,10,0.005147555555555627,0.0010146888888888927,0.007243622222222211,0.004,-0.0023666666666666645,0.013333333333333334,0.0030000000000000027,-0.00596666666666666,0.011033333333333329
leave_target_out,noisy_shot,1024,affine_minus_loss,loss_mia,16,10,0.023595777777777882,0.014410555555555565,0.02939648888888885,0.022,0.01763333333333333,0.031033333333333333,0.061,0.054033333333333336,0.0717
leave_target_out,noisy_shot,1024,affine_minus_mismatched_lira,latent_lira_mismatched,16,10,0.004877333333333289,0.0008320222222222063,0.009386311111111038,0.015999999999999997,0.005933333333333332,0.02183333333333333,0.029333333333333336,0.022166666666666664,0.03606666666666667
leave_target_out,noisy_shot,1024,affine_minus_noise_augmented,noise_augmented_lira,16,10,-0.0006084444444444115,-0.0035015333333332844,0.0008059777777776941,0.0010000000000000009,-0.0021999999999999997,0.004366666666666667,0.002333333333333333,-0.010566666666666665,0.006366666666666663
leave_target_out,noisy_shot,128,affine_minus_deconvolved_lira,deconvolved_lira,16,10,0.016640444444444458,0.009623866666666685,0.02146988888888889,0.013333333333333332,0.0063,0.023466666666666663,0.025999999999999995,0.007200000000000003,0.04083333333333332
leave_target_out,noisy_shot,128,affine_minus_empirical_channel,empirical_channel_lira,16,10,-0.0008317777777778201,-0.003607955555555564,0.0022285555555555483,-0.0006666666666666678,-0.005599999999999999,0.0013333333333333322,-0.0026666666666666713,-0.005999999999999999,0.010266666666666657
leave_target_out,noisy_shot,128,affine_minus_loss,loss_mia,16,10,0.014639000000000013,-0.007434155555555555,0.026052822222222143,0.015333333333333332,0.010233333333333332,0.019899999999999994,0.04133333333333333,0.02586666666666667,0.047466666666666664
leave_target_out,noisy_shot,128,affine_minus_mismatched_lira,latent_lira_mismatched,16,10,0.0070222222222222075,0.0019359333333333229,0.020858022222222217,0.015,0.004300000000000001,0.021699999999999997,0.02766666666666667,0.008866666666666672,0.042666666666666644
leave_target_out,noisy_shot,128,affine_minus_noise_augmented,noise_augmented_lira,16,10,-0.0014686666666666182,-0.00421762222222224,0.006533711111111133,-0.0006666666666666678,-0.005466666666666666,0.003466666666666663,-0.003333333333333327,-0.010666666666666658,0.008799999999999994
leave_target_out,noisy_shot,512,affine_minus_deconvolved_lira,deconvolved_lira,16,10,0.012535777777777757,0.008111666666666673,0.019119111111111243,0.010666666666666668,0.004766666666666664,0.021833333333333333,0.022333333333333334,0.008766666666666667,0.03443333333333333
leave_target_out,noisy_shot,512,affine_minus_empirical_channel,empirical_channel_lira,16,10,0.0018279999999999963,-6.244444444449823e-05,0.006173911111111039,0.0010000000000000009,-0.0030333333333333328,0.00936666666666666,0.0010000000000000009,-0.008033333333333335,0.01239999999999999
leave_target_out,noisy_shot,512,affine_minus_loss,loss_mia,16,10,0.018372222222222234,0.012230111111111119,0.02698919999999994,0.021666666666666667,0.015566666666666668,0.0277,0.051666666666666666,0.04326666666666667,0.06256666666666666
leave_target_out,noisy_shot,512,affine_minus_mismatched_lira,latent_lira_mismatched,16,10,0.005240000000000078,-0.0006607999999999059,0.012849022222222284,0.015,0.0086,0.023033333333333333,0.026333333333333334,0.02133333333333333,0.039866666666666654
leave_target_out,noisy_shot,512,affine_minus_noise_augmented,noise_augmented_lira,16,10,-0.001704888888888867,-0.005264155555555494,0.0006274222222221496,0.002333333333333333,-0.005300000000000001,0.005033333333333334,0.0036666666666666584,-0.005766666666666667,0.007466666666666661
