scheme,heldout_scope,heldout_id,mode,shots,n_replicates,intercept_median,intercept_q05,intercept_q95,slope_median,slope_q05,slope_q95,scale_median,scale_q05,scale_q95,train_r_squared_median,train_r_squared_q05,train_r_squared_q95,test_r_squared_median,test_r_squared_q05,test_r_squared_q95,test_rmse_median,test_rmse_q05,test_rmse_q95,test_coverage_90pct_median,test_coverage_90pct_q05,test_coverage_90pct_q95,test_residual_skew_median,test_residual_skew_q05,test_residual_skew_q95,test_residual_excess_kurtosis_median,test_residual_excess_kurtosis_q05,test_residual_excess_kurtosis_q95
leave_cell_out,cell,zz_r1_d6,noisy_shot,128,5,-0.24345686488457918,-0.2602230658757496,-0.23664028815134547,0.7584057232133642,0.7540196963116523,0.7598646758086447,1.559633083812042,1.538888828851349,1.5756845475541663,0.6029145456802989,0.6008974938302986,0.6182007729451366,0.730711189448652,0.7071858605135819,0.8084206300620409,1.324894971459739,1.26854662153298,1.3367491146269794,0.9461538461538461,0.9416666666666667,0.9637037037037037,-0.14775778462106468,-0.3111540772269685,0.0748068780448693,0.2571538352775664,0.09010134394287625,0.31017717903067404
leave_cell_out,cell,zz_r1_d6,noisy_shot,512,5,-0.08768581948338683,-0.1075828432523938,-0.08134565061784922,0.7594366162300545,0.7531997324661348,0.7642202419306249,0.9352330808548743,0.9220473469002424,0.9436057668688133,0.8103598372581093,0.8075915388720017,0.8192731060457737,0.8964565995448243,0.8647865379245335,0.9261181338577267,0.7978497078040373,0.7089878659586517,0.8391613713407519,0.9483333333333334,0.9345299145299145,0.9725833333333334,-0.0634153672418469,-0.17323702209913625,0.0324992992576047,0.18225149476600988,-0.21460020150289177,0.5481348586635153
leave_cell_out,cell,zz_r5_d6,noisy_shot,1024,5,-0.0981999258572388,-0.1053705072776038,-0.08635642388556666,0.7965690691588532,0.7936809631943527,0.801524540231436,0.6728932270829293,0.6653046284753436,0.6837501815654408,0.903545744793864,0.9013920033392978,0.9077894127677371,0.6757760783881774,0.49225010309160366,0.7191895184263526,1.0617647503487915,0.9650955183894392,1.142231970762445,0.715,0.666011396011396,0.7773333333333333,0.09101434404671858,-0.4059241181979584,0.31689162602658194,0.3242871667598086,-0.18269499799464545,0.5553691221745661
leave_cell_out,cell,zz_r5_d6,noisy_shot,128,5,-0.27374834041201757,-0.2828758826395223,-0.2636501343711638,0.7966678271213676,0.7930817761008586,0.801387984693598,1.4909219686218393,1.4690223284582251,1.5096495655283841,0.6542310055619822,0.6498782857208472,0.6695025796549603,0.42712188323307076,0.3211903642696513,0.49234409791022476,1.646904770953917,1.5610023977083727,1.6543678163485493,0.8716666666666667,0.86014245014245,0.897,0.006953163226174243,-0.1839299640272391,0.03119834678996913,0.4020082985195841,-0.0976023719390568,0.6766054406391673
leave_cell_out,cell,zz_r5_d6,noisy_shot,512,5,-0.12770324504914976,-0.13210514965864656,-0.11531977368427682,0.7978839528226102,0.7954825249591355,0.8016116793802137,0.8411653421481292,0.8343896813702926,0.8505272235142197,0.8567946308871899,0.8535199199904655,0.8649586347467939,0.6138827616265193,0.4700612919503735,0.6852305137405199,1.1577251040401881,1.0744246195797622,1.2662418299573253,0.7777777777777778,0.7266153846153847,0.8163333333333334,0.104320041385991,-0.21573647733844123,0.2550102982874844,0.33280617713563077,-0.13933252828191767,0.5027498719302185
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s43,noisy_shot,1024,5,-0.10643806656982524,-0.12012332975338982,-0.08490770701615433,0.8318927366597846,0.8243124719580813,0.8532485025115051,0.6275480588674714,0.6126113995117718,0.6430645061979516,0.838735336627657,0.8295680706949445,0.847835475002131,0.7993196145523678,0.7093989250809553,0.8628187978308944,0.5963950022628878,0.49395266746370287,0.6158423362393132,0.9153846153846154,0.9072222222222223,0.963,0.0738818237285928,0.0049201474659333845,0.32588293732062645,0.1756390686497067,-0.4062019869445577,0.691031479412416
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s43,noisy_shot,128,5,-0.32878916161178195,-0.37167130996595865,-0.31984915709714506,0.8102715907497146,0.7900598373786887,0.8183647846210166,1.6064913122935844,1.5501264379271191,1.650917021658881,0.4219716302144356,0.40668677182542884,0.44760456218249106,0.40234084357101063,0.29725685039286676,0.5121400022955105,1.4930904895303652,1.317914832096927,1.5526776677503564,0.9166666666666666,0.8815384615384615,0.956,-0.05165537579097108,-0.36981317668720626,0.15713300719770093,0.44338550538481636,0.04681356620117941,0.9819550604445266
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s43,noisy_shot,512,5,-0.16065057489896517,-0.17377433390989167,-0.14991222986141667,0.825276158603322,0.8172388945879377,0.8432319029278613,0.8273616570802811,0.8082313067937337,0.8499457414921776,0.7408999084519752,0.7328003830005765,0.7660959635514148,0.688274345186487,0.5817581857306656,0.7544908577211351,0.7755360700856201,0.7612323889787674,0.8470501531097607,0.9125,0.8671794871794872,0.9359999999999999,-0.007723475495323277,-0.21746384210086286,0.01373156912757637,-0.06613975599568045,-0.3803968938965192,0.23300779644836564
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s44,noisy_shot,1024,5,-0.09746323382537381,-0.12339624868310464,-0.07967615294053196,0.8504425493795919,0.84270510375407,0.8705462371210745,0.5947594587421592,0.5850092976882314,0.6137675044331072,0.825530766131774,0.8176352408109538,0.8406232968875424,0.8268670541698948,0.8003359930086668,0.8645639606207197,0.6121199355074042,0.5576802767537761,0.7329188006717272,0.865,0.8141880341880342,0.923,-0.6213999003897381,-0.8712940489588975,-0.28675622419436214,1.0556653529659021,0.29651784612959436,4.20697118342979
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s44,noisy_shot,128,5,-0.3071968667586001,-0.31455013971402596,-0.2881289373666315,0.8260060074048645,0.8084644744207439,0.842691276464027,1.5397307029147302,1.4980798944920222,1.5822522982344005,0.41027081904360274,0.3844040706631828,0.42198279054751764,0.44192419165007013,0.3095507255926126,0.5222213698894789,1.6203302646505267,1.3847884129861874,1.746708027791499,0.8875,0.8432478632478633,0.9359999999999999,-0.3403386393423159,-0.8888634246335444,0.4278090219002652,2.115161661388587,0.7788683866542117,4.4953275329102045
