scope,scope_id,scheme,mode,shots,attack,reference_count,nominal_fpr,n_replicates,actual_fpr_median,actual_fpr_q05,actual_fpr_q95,calibrated_tpr_median,calibrated_tpr_q05,calibrated_tpr_q95
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,noise_augmented_lira,16,0.01,10,0.01,0.004833333333333334,0.02,0.006666666666666667,0.0015,0.011833333333333331
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,noise_augmented_lira,16,0.05,10,0.04833333333333334,0.03966666666666667,0.06333333333333334,0.05,0.03816666666666667,0.06033333333333333
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,512,affine_channel_lira,16,0.01,10,0.01,0.004833333333333334,0.018499999999999996,0.015,0.004833333333333334,0.018499999999999996
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,512,affine_channel_lira,16,0.05,10,0.05,0.029666666666666668,0.067,0.056666666666666664,0.04,0.08399999999999998
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,512,deconvolved_lira,16,0.01,10,0.01,0.004833333333333334,0.020333333333333328,0.013333333333333334,0.004833333333333334,0.018499999999999996
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,512,deconvolved_lira,16,0.05,10,0.056666666666666664,0.044833333333333336,0.06183333333333333,0.05666666666666667,0.0275,0.06666666666666667
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,512,empirical_channel_lira,16,0.01,10,0.01,0.006666666666666667,0.02,0.011666666666666667,0.004833333333333334,0.018499999999999996
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,512,empirical_channel_lira,16,0.05,10,0.055,0.03,0.07,0.056666666666666664,0.044500000000000005,0.08883333333333332
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,512,latent_lira_mismatched,16,0.01,10,0.01,0.004833333333333334,0.020333333333333328,0.006666666666666667,0.0,0.011833333333333331
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,512,latent_lira_mismatched,16,0.05,10,0.05,0.03966666666666667,0.06033333333333333,0.04166666666666667,0.0245,0.058499999999999996
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,512,loss_mia,0,0.01,10,0.011666666666666667,0.008166666666666668,0.016666666666666666,0.013333333333333334,0.006666666666666667,0.02666666666666667
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,512,loss_mia,0,0.05,10,0.058333333333333334,0.0415,0.06333333333333334,0.055,0.03783333333333334,0.07033333333333333
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,512,noise_augmented_lira,16,0.01,10,0.008333333333333333,0.0033333333333333335,0.018499999999999996,0.006666666666666667,0.006666666666666667,0.011833333333333331
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,512,noise_augmented_lira,16,0.05,10,0.051666666666666666,0.027833333333333335,0.06183333333333333,0.051666666666666666,0.043333333333333335,0.07733333333333332
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,1024,affine_channel_lira,16,0.01,10,0.016666666666666666,0.0115,0.023333333333333334,0.018333333333333333,0.013333333333333334,0.030333333333333327
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,1024,affine_channel_lira,16,0.05,10,0.08833333333333333,0.07966666666666666,0.10183333333333333,0.11,0.08900000000000001,0.127
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,1024,deconvolved_lira,16,0.01,10,0.01,0.006666666666666667,0.015166666666666663,0.005,0.0033333333333333335,0.01
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,1024,deconvolved_lira,16,0.05,10,0.07,0.05483333333333333,0.08366666666666667,0.06833333333333333,0.058166666666666665,0.09066666666666665
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,1024,empirical_channel_lira,16,0.01,10,0.013333333333333334,0.01,0.02183333333333333,0.018333333333333333,0.01,0.02183333333333333
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,1024,empirical_channel_lira,16,0.05,10,0.08833333333333333,0.07116666666666667,0.107,0.09333333333333334,0.073,0.1085
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,1024,latent_lira_mismatched,16,0.01,10,0.011666666666666667,0.006666666666666667,0.020333333333333328,0.0033333333333333335,0.0,0.015166666666666663
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,1024,latent_lira_mismatched,16,0.05,10,0.058333333333333334,0.05,0.07066666666666666,0.05333333333333333,0.043333333333333335,0.06183333333333333
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,1024,loss_mia,0,0.01,10,0.01,0.0033333333333333335,0.015166666666666663,0.01,0.004833333333333334,0.015166666666666663
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,1024,loss_mia,0,0.05,10,0.04666666666666667,0.03666666666666667,0.05883333333333333,0.045,0.03666666666666667,0.058499999999999996
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,1024,noise_augmented_lira,16,0.01,10,0.016666666666666666,0.013333333333333334,0.025166666666666664,0.018333333333333333,0.0115,0.025166666666666664
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,1024,noise_augmented_lira,16,0.05,10,0.09333333333333334,0.07083333333333333,0.1,0.10333333333333333,0.08666666666666667,0.11216666666666666
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,128,affine_channel_lira,16,0.01,10,0.015,0.01,0.023666666666666662,0.02,0.016666666666666666,0.03333333333333333
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,128,affine_channel_lira,16,0.05,10,0.08,0.059333333333333335,0.08666666666666667,0.095,0.07816666666666666,0.10916666666666665
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,128,deconvolved_lira,16,0.01,10,0.008333333333333333,0.0,0.011833333333333331,0.0,0.0,0.006666666666666667
