scope,scope_id,scheme,mode,shots,simulator_seed,attack,reference_count,nominal_fpr,n_member,n_nonmember,actual_fpr,calibrated_tpr
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,8,loss_mia,0,0.05,100,100,0.0,0.02
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,8,loss_mia,0,0.05,100,100,0.06,0.08
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,8,loss_mia,0,0.05,100,100,0.04,0.04
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,9,loss_mia,0,0.05,300,300,0.043333333333333335,0.07666666666666666
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,9,loss_mia,0,0.05,100,100,0.01,0.04
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,9,loss_mia,0,0.05,100,100,0.07,0.13
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,9,loss_mia,0,0.05,100,100,0.05,0.06
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,0,latent_lira_mismatched,16,0.01,300,300,0.01,0.006666666666666667
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,0,latent_lira_mismatched,16,0.01,100,100,0.01,0.01
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,0,latent_lira_mismatched,16,0.01,100,100,0.01,0.0
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,0,latent_lira_mismatched,16,0.01,100,100,0.01,0.01
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,1,latent_lira_mismatched,16,0.01,300,300,0.006666666666666667,0.0033333333333333335
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,1,latent_lira_mismatched,16,0.01,100,100,0.01,0.01
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,1,latent_lira_mismatched,16,0.01,100,100,0.0,0.0
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,1,latent_lira_mismatched,16,0.01,100,100,0.01,0.0
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,2,latent_lira_mismatched,16,0.01,300,300,0.006666666666666667,0.0
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,2,latent_lira_mismatched,16,0.01,100,100,0.0,0.0
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,2,latent_lira_mismatched,16,0.01,100,100,0.01,0.0
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,2,latent_lira_mismatched,16,0.01,100,100,0.01,0.0
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,3,latent_lira_mismatched,16,0.01,300,300,0.006666666666666667,0.013333333333333334
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,3,latent_lira_mismatched,16,0.01,100,100,0.02,0.0
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,3,latent_lira_mismatched,16,0.01,100,100,0.0,0.02
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,3,latent_lira_mismatched,16,0.01,100,100,0.0,0.02
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,4,latent_lira_mismatched,16,0.01,300,300,0.016666666666666666,0.0
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,4,latent_lira_mismatched,16,0.01,100,100,0.02,0.0
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,4,latent_lira_mismatched,16,0.01,100,100,0.03,0.0
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,4,latent_lira_mismatched,16,0.01,100,100,0.0,0.0
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,5,latent_lira_mismatched,16,0.01,300,300,0.0033333333333333335,0.01
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,5,latent_lira_mismatched,16,0.01,100,100,0.0,0.01
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,5,latent_lira_mismatched,16,0.01,100,100,0.0,0.01
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,5,latent_lira_mismatched,16,0.01,100,100,0.01,0.01
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,6,latent_lira_mismatched,16,0.01,300,300,0.0033333333333333335,0.0033333333333333335
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,6,latent_lira_mismatched,16,0.01,100,100,0.01,0.0
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,6,latent_lira_mismatched,16,0.01,100,100,0.0,0.0
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,6,latent_lira_mismatched,16,0.01,100,100,0.0,0.01
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,7,latent_lira_mismatched,16,0.01,300,300,0.023333333333333334,0.0
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,7,latent_lira_mismatched,16,0.01,100,100,0.03,0.0
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,7,latent_lira_mismatched,16,0.01,100,100,0.03,0.0
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,7,latent_lira_mismatched,16,0.01,100,100,0.01,0.0
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,8,latent_lira_mismatched,16,0.01,300,300,0.016666666666666666,0.006666666666666667
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,8,latent_lira_mismatched,16,0.01,100,100,0.0,0.01
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,8,latent_lira_mismatched,16,0.01,100,100,0.02,0.01
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,8,latent_lira_mismatched,16,0.01,100,100,0.03,0.0
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,9,latent_lira_mismatched,16,0.01,300,300,0.01,0.0033333333333333335
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,9,latent_lira_mismatched,16,0.01,100,100,0.0,0.01
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,9,latent_lira_mismatched,16,0.01,100,100,0.02,0.0
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,9,latent_lira_mismatched,16,0.01,100,100,0.01,0.0
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,0,latent_lira_mismatched,16,0.05,300,300,0.056666666666666664,0.04666666666666667
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,0,latent_lira_mismatched,16,0.05,100,100,0.03,0.06
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,0,latent_lira_mismatched,16,0.05,100,100,0.06,0.03
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,0,latent_lira_mismatched,16,0.05,100,100,0.08,0.05
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,1,latent_lira_mismatched,16,0.05,300,300,0.04666666666666667,0.02666666666666667
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,1,latent_lira_mismatched,16,0.05,100,100,0.05,0.05
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,1,latent_lira_mismatched,16,0.05,100,100,0.05,0.02
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,1,latent_lira_mismatched,16,0.05,100,100,0.04,0.01
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,2,latent_lira_mismatched,16,0.05,300,300,0.04,0.03666666666666667
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,2,latent_lira_mismatched,16,0.05,100,100,0.02,0.06
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,2,latent_lira_mismatched,16,0.05,100,100,0.08,0.01
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,2,latent_lira_mismatched,16,0.05,100,100,0.02,0.04
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,3,latent_lira_mismatched,16,0.05,300,300,0.043333333333333335,0.03
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,3,latent_lira_mismatched,16,0.05,100,100,0.04,0.02
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,3,latent_lira_mismatched,16,0.05,100,100,0.03,0.04
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,3,latent_lira_mismatched,16,0.05,100,100,0.06,0.03
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,4,latent_lira_mismatched,16,0.05,300,300,0.05,0.03
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,4,latent_lira_mismatched,16,0.05,100,100,0.05,0.03
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,4,latent_lira_mismatched,16,0.05,100,100,0.04,0.04
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,4,latent_lira_mismatched,16,0.05,100,100,0.06,0.02
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,5,latent_lira_mismatched,16,0.05,300,300,0.07333333333333333,0.056666666666666664
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,5,latent_lira_mismatched,16,0.05,100,100,0.06,0.08
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,5,latent_lira_mismatched,16,0.05,100,100,0.07,0.03
