scheme,heldout_scope,heldout_id,calibration_ids,mode,shots,fold,n_train_public_nonmember_pairs,n_test_heldout_nonmember_pairs,intercept,slope,scale,train_rmse,train_r_squared,train_residual_mean,train_residual_std,train_residual_skew,train_residual_excess_kurtosis,train_coverage_90pct,test_rmse,test_r_squared,test_residual_mean,test_residual_std,test_residual_skew,test_residual_excess_kurtosis,test_coverage_90pct
leave_target_out,target,MNIST_QNN_z_r1_d6_s45,MNIST_QNN_z_r1_d6_s43;MNIST_QNN_z_r1_d6_s44,noisy_shot,512,0,1600,200,-0.025901797212161348,0.8751092366679392,0.7303257484861321,0.7298691521623597,0.909756157855368,-6.217248937900877e-17,0.7298691521623597,0.13813239901055513,0.15097947487799068,0.896875,0.7987524159297142,0.9080554851954251,-0.23429139758626225,0.7636183359313939,-0.31835607527597753,0.16918600762844438,0.86
leave_target_out,target,MNIST_QNN_z_r1_d6_s45,MNIST_QNN_z_r1_d6_s43;MNIST_QNN_z_r1_d6_s44,noisy_shot,512,1,1640,180,-0.07545521821691725,0.8885137875466581,0.7285086951540588,0.7280643470217432,0.9179347823216057,-1.429750626834348e-16,0.7280643470217432,0.1536270977869003,0.06524712033131763,0.8957317073170732,0.7394098068134467,0.806681224067099,-0.25844143676325526,0.6927733295787613,-0.33711066788064054,-0.3700823752656679,0.9055555555555556
leave_target_out,target,MNIST_QNN_z_r1_d6_s45,MNIST_QNN_z_r1_d6_s43;MNIST_QNN_z_r1_d6_s44,noisy_shot,512,2,1680,160,-0.09143124474753184,0.867901293624515,0.7195286443158067,0.719100225912647,0.9122742686107557,-1.691768418476429e-16,0.7191002259126471,0.21997085134275832,0.14179169054963214,0.9005952380952381,0.7040316302283801,0.9182802832946002,-0.17739869110288936,0.681315081850543,-0.3108004076695553,0.7498575591360455,0.90625
leave_target_out,target,MNIST_QNN_z_r1_d6_s45,MNIST_QNN_z_r1_d6_s43;MNIST_QNN_z_r1_d6_s44,noisy_shot,512,3,1480,260,-0.08822444757597192,0.8831674481803498,0.7191920478515169,0.7187059429985129,0.9106308787249509,-2.304462926789514e-16,0.7187059429985129,0.1255463575928815,0.07260280019987908,0.9027027027027027,0.7993221450888197,0.8951008118897567,-0.19860782011225137,0.7742550131705004,0.05047092652551235,0.2918342965333034,0.8730769230769231
leave_target_out,target,MNIST_QNN_z_r1_d6_s45,MNIST_QNN_z_r1_d6_s43;MNIST_QNN_z_r1_d6_s44,noisy_shot,512,4,1600,200,-0.0322902546940842,0.8685531442110619,0.7396038262299783,0.739141429294358,0.9083512903316917,1.8207657603852566e-16,0.739141429294358,0.18382003776664266,0.031548258867631684,0.903125,0.7608644020524802,0.9004431979154564,-0.08959570917515226,0.7555708088644504,-0.052880667132340714,0.11245556949833091,0.9
leave_target_out,target,MNIST_QNN_zz_r1_d6_s43,MNIST_QNN_zz_r1_d6_s44;MNIST_QNN_zz_r1_d6_s45,noisy_shot,512,0,1600,200,-0.16433609770566493,0.7388204400405333,0.7516410778714355,0.7511711553010431,0.8845987997118826,1.1546319456101628e-16,0.7511711553010431,-0.11626565337313427,0.3209345714318408,0.9,0.8951163604167033,0.9116719337499375,0.12610016860467543,0.8861896220129853,-0.0887189458700051,-0.5442627771424156,0.83
leave_target_out,target,MNIST_QNN_zz_r1_d6_s43,MNIST_QNN_zz_r1_d6_s44;MNIST_QNN_zz_r1_d6_s45,noisy_shot,512,1,1640,180,-0.1287578681341628,0.7409149734428494,0.7485804631002774,0.7481238723514242,0.9050702902526765,-6.93212425131805e-17,0.7481238723514242,-0.11523480828379726,0.32878642364940536,0.8969512195121951,0.8443959237631246,0.8445192291344691,0.061173387357090575,0.8421771148321711,-0.029894285297139778,-0.40841941676388105,0.8333333333333334
leave_target_out,target,MNIST_QNN_zz_r1_d6_s43,MNIST_QNN_zz_r1_d6_s44;MNIST_QNN_zz_r1_d6_s45,noisy_shot,512,2,1680,160,-0.171481802029406,0.7416469984136702,0.7561632946387546,0.7557130634022691,0.9015744651842744,5.075305255429287e-17,0.7557130634022691,-0.10920921842720678,0.22320487426826974,0.9029761904761905,0.7971778145735594,0.8886638314231036,-0.03980699566658089,0.7961833150376094,-0.3861594367761879,1.0295642052924308,0.89375
leave_target_out,target,MNIST_QNN_zz_r1_d6_s43,MNIST_QNN_zz_r1_d6_s44;MNIST_QNN_zz_r1_d6_s45,noisy_shot,512,3,1480,260,-0.1838688740029475,0.7598573360250315,0.7122119736747258,0.7117305866824682,0.9182070379251961,2.784559369870663e-16,0.7117305866824682,-0.11801963777716795,0.02868721105782157,0.904054054054054,0.8259889061084027,0.9074857810177264,0.02727174897063177,0.8255385664656972,0.11652734882349072,-0.07758963895400006,0.8384615384615385
leave_target_out,target,MNIST_QNN_zz_r1_d6_s43,MNIST_QNN_zz_r1_d6_s44;MNIST_QNN_zz_r1_d6_s45,noisy_shot,512,4,1600,200,-0.19581555499832914,0.7430836342770419,0.7656436056965855,0.7651649288097229,0.8977453257011251,2.1316282072803005e-16,0.765164928809723,-0.056217661989106986,0.1392950588729014,0.90125,0.7838171021491552,0.896784909149952,0.17600144953409674,0.7638015052246205,0.09080912286958548,-0.40215293625765147,0.895
