scope,scope_id,scheme,mode,shots,attack,reference_count,n_replicates,auc_median,auc_q05,auc_q95,advantage_median,advantage_q05,advantage_q95,tpr_at_0_1pct_fpr_median,tpr_at_0_1pct_fpr_q05,tpr_at_0_1pct_fpr_q95,tpr_at_1pct_fpr_median,tpr_at_1pct_fpr_q05,tpr_at_1pct_fpr_q95,tpr_at_5pct_fpr_median,tpr_at_5pct_fpr_q05,tpr_at_5pct_fpr_q95
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,128,deconvolved_lira,16,10,0.5138166666666666,0.48534555555555553,0.5330811111111111,0.0633333333333333,0.027500000000000042,0.0866666666666667,0.0016666666666666668,0.0,0.010333333333333326,0.006666666666666667,0.0,0.01366666666666666,0.03833333333333333,0.021500000000000002,0.06033333333333333
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,128,empirical_channel_lira,16,10,0.5281,0.49319722222222223,0.5549700000000001,0.09333333333333335,0.03950000000000001,0.12133333333333336,0.005,0.0,0.012166666666666655,0.021666666666666667,0.008166666666666668,0.035833333333333314,0.06666666666666667,0.046,0.08549999999999999
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,128,latent_lira_mismatched,16,10,0.5185555555555555,0.49121000000000004,0.5299977777777778,0.06833333333333336,0.027166666666666714,0.08399999999999999,0.0,0.0,0.0036666666666666597,0.0033333333333333335,0.0,0.013333333333333334,0.03833333333333333,0.024833333333333336,0.05466666666666664
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,128,loss_mia,0,10,0.5358222222222222,0.5101705555555556,0.58158,0.09833333333333333,0.05633333333333336,0.1391666666666667,0.0016666666666666668,0.0,0.0033333333333333335,0.008333333333333333,0.0015,0.020333333333333328,0.055,0.03233333333333334,0.08283333333333331
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,128,noise_augmented_lira,16,10,0.5314944444444445,0.4878927777777778,0.5617733333333333,0.08499999999999996,0.04383333333333333,0.12099999999999997,0.0033333333333333335,0.0,0.010333333333333326,0.02666666666666667,0.008166666666666668,0.05316666666666663,0.08,0.0545,0.087
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,512,affine_channel_lira,16,10,0.53565,0.5246405555555556,0.5626561111111111,0.09000000000000002,0.07,0.1385,0.0,0.0,0.005166666666666663,0.01,0.0,0.016999999999999994,0.07,0.051500000000000004,0.08333333333333333
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,512,deconvolved_lira,16,10,0.5163555555555555,0.49797,0.5438561111111111,0.07166666666666671,0.03450000000000003,0.1255,0.0,0.0,0.005166666666666663,0.006666666666666667,0.0033333333333333335,0.018499999999999996,0.05,0.0245,0.058499999999999996
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,512,empirical_channel_lira,16,10,0.5336444444444444,0.520395,0.5626,0.10166666666666663,0.07816666666666668,0.14,0.006666666666666667,0.004833333333333334,0.011833333333333331,0.013333333333333334,0.008166666666666668,0.022166666666666657,0.05,0.03333333333333333,0.0785
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,512,latent_lira_mismatched,16,10,0.5245,0.5110661111111111,0.5563522222222222,0.08666666666666667,0.060833333333333316,0.11949999999999994,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.011833333333333331,0.04666666666666667,0.03666666666666667,0.058499999999999996
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,512,loss_mia,0,10,0.5542444444444445,0.5371555555555556,0.56838,0.11166666666666672,0.09816666666666671,0.1543333333333333,0.0016666666666666668,0.0,0.008499999999999997,0.01,0.004833333333333334,0.016999999999999994,0.051666666666666666,0.029666666666666668,0.06766666666666664
