target_id,experiment,dataset,architecture,run_id,model_seed,data_seed,attacker_seed,membership_convention,n_wires,depth,target_train_acc,target_test_acc,target_gap_acc,attack_acc,attack_auc,attack_f1,attack_precision,attack_recall,tpr@fpr=0.001,tpr@fpr=0.01,tpr@fpr=0.05,tpr@fpr=0.1,tuning_method,cv_best_auc,final_epochs,attack_results_json
ARCH_low_reupload_QNN_s43,architecture_control,mnist,QNN,182,43,43,43,"1=member,0=nonmember",6,2,0.785,0.745,0.040000000000000036,0.4875,0.540625,0.5858585858585859,0.4915254237288136,0.725,0.05,0.05,0.275,0.325,optuna,0.5978515625,12,reviewer_results/learned_mia_seed43/ARCH_low_reupload_QNN_s43/attack_results.json
ARCH_low_reupload_QNN_s44,architecture_control,mnist,QNN,182,44,43,43,"1=member,0=nonmember",6,2,0.795,0.72,0.07500000000000007,0.4375,0.4475,0.4827586206896552,0.44680851063829785,0.525,0.025,0.025,0.025,0.05,optuna,0.623046875,6,reviewer_results/learned_mia_seed43/ARCH_low_reupload_QNN_s44/attack_results.json
ARCH_low_reupload_QNN_s45,architecture_control,mnist,QNN,182,45,43,43,"1=member,0=nonmember",6,2,0.8,0.71,0.09000000000000008,0.55,0.6356250000000001,0.660377358490566,0.5303030303030303,0.875,0.1,0.1,0.2,0.25,optuna,0.597265625,4,reviewer_results/learned_mia_seed43/ARCH_low_reupload_QNN_s45/attack_results.json
ARCH_low_reupload_mlp_qnn_s43,architecture_control,mnist,MLP_QNN,182,43,43,43,"1=member,0=nonmember",6,2,0.905,0.775,0.13,0.5375,0.551875,0.6105263157894737,0.5272727272727272,0.725,0.0,0.0,0.05,0.1,optuna,0.62734375,127,reviewer_results/learned_mia_seed43/ARCH_low_reupload_mlp_qnn_s43/attack_results.json
ARCH_low_reupload_mlp_qnn_s44,architecture_control,mnist,MLP_QNN,182,44,43,43,"1=member,0=nonmember",6,2,0.9,0.79,0.10999999999999999,0.5,0.48750000000000004,0.5348837209302325,0.5,0.575,0.0,0.0,0.05,0.05,optuna,0.623828125,2,reviewer_results/learned_mia_seed43/ARCH_low_reupload_mlp_qnn_s44/attack_results.json
ARCH_low_reupload_mlp_qnn_s45,architecture_control,mnist,MLP_QNN,182,45,43,43,"1=member,0=nonmember",6,2,0.905,0.785,0.12,0.525,0.5418750000000001,0.6041666666666666,0.5178571428571429,0.725,0.0,0.0,0.1,0.125,optuna,0.6384765625,24,reviewer_results/learned_mia_seed43/ARCH_low_reupload_mlp_qnn_s45/attack_results.json
MNIST_QNN_eff_su2_r1_d2_s43,multiseed_factorial,mnist,QNN,1622,43,43,43,"1=member,0=nonmember",6,2,0.765,0.73,0.03500000000000003,0.4375,0.464375,0.47058823529411764,0.4444444444444444,0.5,0.05,0.05,0.075,0.125,optuna,0.5970703125,9,reviewer_results/learned_mia_seed43/MNIST_QNN_eff_su2_r1_d2_s43/attack_results.json
MNIST_QNN_eff_su2_r1_d2_s44,multiseed_factorial,mnist,QNN,1622,44,43,43,"1=member,0=nonmember",6,2,0.74,0.695,0.04500000000000004,0.5625,0.541875,0.5882352941176471,0.5555555555555556,0.625,0.0,0.0,0.05,0.15,optuna,0.6123046875,9,reviewer_results/learned_mia_seed43/MNIST_QNN_eff_su2_r1_d2_s44/attack_results.json
MNIST_QNN_eff_su2_r1_d2_s45,multiseed_factorial,mnist,QNN,1622,45,43,43,"1=member,0=nonmember",6,2,0.74,0.75,-0.010000000000000009,0.525,0.535625,0.5681818181818182,0.5208333333333334,0.625,0.025,0.025,0.075,0.25,optuna,0.6478515625,22,reviewer_results/learned_mia_seed43/MNIST_QNN_eff_su2_r1_d2_s45/attack_results.json
MNIST_QNN_eff_su2_r1_d6_s43,multiseed_factorial,mnist,QNN,1646,43,43,43,"1=member,0=nonmember",6,6,0.825,0.765,0.05999999999999994,0.4875,0.471875,0.5773195876288659,0.49122807017543857,0.7,0.05,0.05,0.1,0.175,optuna,0.6109375,6,reviewer_results/learned_mia_seed43/MNIST_QNN_eff_su2_r1_d6_s43/attack_results.json
MNIST_QNN_eff_su2_r1_d6_s44,multiseed_factorial,mnist,QNN,1646,44,43,43,"1=member,0=nonmember",6,6,0.79,0.765,0.025000000000000022,0.4375,0.448125,0.4578313253012048,0.4418604651162791,0.475,0.0,0.0,0.025,0.05,optuna,0.6501953125,121,reviewer_results/learned_mia_seed43/MNIST_QNN_eff_su2_r1_d6_s44/attack_results.json
MNIST_QNN_eff_su2_r1_d6_s45,multiseed_factorial,mnist,QNN,1646,45,43,43,"1=member,0=nonmember",6,6,0.815,0.785,0.029999999999999916,0.4875,0.501875,0.5393258426966292,0.4897959183673469,0.6,0.0,0.0,0.15,0.175,optuna,0.6173828125,9,reviewer_results/learned_mia_seed43/MNIST_QNN_eff_su2_r1_d6_s45/attack_results.json
MNIST_QNN_eff_su2_r5_d2_s43,multiseed_factorial,mnist,QNN,1766,43,43,43,"1=member,0=nonmember",6,2,0.84,0.74,0.09999999999999998,0.4125,0.41687500000000005,0.47191011235955055,0.42857142857142855,0.525,0.0,0.0,0.1,0.15,optuna,0.6087890625,28,reviewer_results/learned_mia_seed43/MNIST_QNN_eff_su2_r5_d2_s43/attack_results.json
MNIST_QNN_eff_su2_r5_d2_s44,multiseed_factorial,mnist,QNN,1766,44,43,43,"1=member,0=nonmember",6,2,0.86,0.755,0.10499999999999998,0.4875,0.46375,0.5393258426966292,0.4897959183673469,0.6,0.0,0.0,0.025,0.075,optuna,0.645703125,15,reviewer_results/learned_mia_seed43/MNIST_QNN_eff_su2_r5_d2_s44/attack_results.json
