target_id,attack,auc,auc_record_ci95_low,auc_record_ci95_high,valid_record_bootstrap_replicates,n_member,n_nonmember,fpr_resolution,membership_convention,source_file,ci_method,bootstrap_unit,bootstrap_replicates,experiment,dataset,architecture,model_type,run_id,model_seed,data_seed,seed,attack_feature_mode,learning_rate,n_wires,depth,ql_ent,ql_op,fm_kind,reps,fm_ent,fm_op,pad_mode,vector_train,vector_valid,vector_test,role,source_run_id,ql_rev,original_acc_train,original_acc_test,original_gap,batch_size,epochs,extra_feats,structural_cell_id,risk_level,balanced_accuracy_crossfit,membership_advantage_crossfit,crossfit_tpr,crossfit_fpr,threshold_median,threshold_folds,tpr_at_requested_fpr_0p05,attained_fpr_0p05,expected_false_positives_0p05,resolvable_0p05,tpr_at_requested_fpr_0p1,attained_fpr_0p1,expected_false_positives_0p1,resolvable_0p1
MNIST_QNN_eff_su2_r1_d6_s43,confidence,0.51325,0.45659875,0.5692262499999999,10000,200,200,0.005,0=member,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s43/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,multiseed_factorial,mnist,qnn,qnn,1646,43,43,43,pv+stats,0.05,6,6,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_su2_r1_d6,1646,False,0.935,0.75,0.185,16,100,False,eff_su2_r1_d6,,0.48250000000000004,-0.03500000000000003,0.415,0.45,0.7285459637641907,5,0.05,0.035,10.0,True,0.13,0.1,20.0,True
MNIST_QNN_eff_su2_r1_d6_s43,margin,0.51185,0.454224375,0.566925625,10000,200,200,0.005,0=member,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s43/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,multiseed_factorial,mnist,qnn,qnn,1646,43,43,43,pv+stats,0.05,6,6,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_su2_r1_d6,1646,False,0.935,0.75,0.185,16,100,False,eff_su2_r1_d6,,0.5,0.0,0.38,0.38,0.5087073445320129,5,0.06,0.05,10.0,True,0.13,0.1,20.0,True
MNIST_QNN_eff_su2_r1_d6_s43,correctness,0.5299999999999999,0.49,0.57,10000,200,200,0.005,0=member,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s43/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,multiseed_factorial,mnist,qnn,qnn,1646,43,43,43,pv+stats,0.05,6,6,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_su2_r1_d6,1646,False,0.935,0.75,0.185,16,100,False,eff_su2_r1_d6,,0.53,0.05999999999999994,0.825,0.765,1.0,5,0.0,0.0,10.0,True,0.0,0.0,20.0,True
MNIST_QNN_eff_su2_r1_d6_s43,max_probability,0.51325,0.456349375,0.5705262499999999,10000,200,200,0.005,0=member,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s43/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,multiseed_factorial,mnist,qnn,qnn,1646,43,43,43,pv+stats,0.05,6,6,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_su2_r1_d6,1646,False,0.935,0.75,0.185,16,100,False,eff_su2_r1_d6,,0.48250000000000004,-0.03500000000000003,0.415,0.45,0.7285459637641907,5,0.05,0.035,10.0,True,0.13,0.1,20.0,True
MNIST_QNN_eff_su2_r1_d6_s44,loss,0.532225,0.475349375,0.588600625,10000,200,200,0.005,0=member,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s44/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,multiseed_factorial,mnist,qnn,qnn,1646,44,43,44,pv+stats,0.05,6,6,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_su2_r1_d6,1646,False,0.935,0.75,0.185,16,100,False,eff_su2_r1_d6,,0.49250000000000005,-0.015000000000000013,0.31,0.325,-0.11927826702594757,5,0.055,0.05,10.0,True,0.105,0.1,20.0,True
MNIST_QNN_eff_su2_r1_d6_s44,entropy,0.504075,0.447775,0.561775625,10000,200,200,0.005,0=member,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s44/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,multiseed_factorial,mnist,qnn,qnn,1646,44,43,44,pv+stats,0.05,6,6,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_su2_r1_d6,1646,False,0.935,0.75,0.185,16,100,False,eff_su2_r1_d6,,0.5225,0.044999999999999984,0.295,0.25,-0.45094412565231323,5,0.045,0.03,10.0,True,0.105,0.095,20.0,True
MNIST_QNN_eff_su2_r1_d6_s44,confidence,0.5037499999999999,0.44639812500000003,0.5602262499999999,10000,200,200,0.005,0=member,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s44/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,multiseed_factorial,mnist,qnn,qnn,1646,44,43,44,pv+stats,0.05,6,6,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_su2_r1_d6,1646,False,0.935,0.75,0.185,16,100,False,eff_su2_r1_d6,,0.505,0.009999999999999981,0.24,0.23,0.8888102769851685,5,0.055,0.05,10.0,True,0.105,0.1,20.0,True
MNIST_QNN_eff_su2_r1_d6_s44,margin,0.509275,0.45169875,0.56505,10000,200,200,0.005,0=member,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s44/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,multiseed_factorial,mnist,qnn,qnn,1646,44,43,44,pv+stats,0.05,6,6,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_su2_r1_d6,1646,False,0.935,0.75,0.185,16,100,False,eff_su2_r1_d6,,0.475,-0.04999999999999999,0.295,0.345,0.8001578450202942,5,0.05,0.05,10.0,True,0.105,0.095,20.0,True
MNIST_QNN_eff_su2_r1_d6_s44,correctness,0.5125,0.4725,0.555,10000,200,200,0.005,0=member,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s44/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,multiseed_factorial,mnist,qnn,qnn,1646,44,43,44,pv+stats,0.05,6,6,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_su2_r1_d6,1646,False,0.935,0.75,0.185,16,100,False,eff_su2_r1_d6,,0.495,-0.010000000000000009,0.62,0.63,1.0,5,0.0,0.0,10.0,True,0.0,0.0,20.0,True
MNIST_QNN_eff_su2_r1_d6_s44,max_probability,0.5037499999999999,0.4466725,0.5592575,10000,200,200,0.005,0=member,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s44/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,multiseed_factorial,mnist,qnn,qnn,1646,44,43,44,pv+stats,0.05,6,6,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_su2_r1_d6,1646,False,0.935,0.75,0.185,16,100,False,eff_su2_r1_d6,,0.505,0.009999999999999981,0.24,0.23,0.8888102769851685,5,0.055,0.05,10.0,True,0.105,0.1,20.0,True
MNIST_QNN_eff_su2_r1_d6_s45,loss,0.5342250000000001,0.47814937500000004,0.5911512499999999,10000,200,200,0.005,0=member,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s45/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,multiseed_factorial,mnist,qnn,qnn,1646,45,43,45,pv+stats,0.05,6,6,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_su2_r1_d6,1646,False,0.935,0.75,0.185,16,100,False,eff_su2_r1_d6,,0.48750000000000004,-0.024999999999999967,0.45,0.475,-0.2532697319984436,5,0.055,0.045,10.0,True,0.115,0.1,20.0,True
