victim_target_id,calibration_target_id,structural_cell_id,attack,auc,empirical_tpr_at_1pct_fpr,empirical_attained_fpr,nominal_fpr,calibration_threshold,actual_victim_fpr,operational_tpr,loss_conditioned_auc,loss_conditioned_bins,loss_conditioned_records,victim_members,victim_nonmembers,calibration_members,calibration_nonmembers,training_rows_before_identity_aggregation,training_rows_removed_for_held_identity_overlap,training_unique_content_identities,feature_count,attacker
MNIST_QNN_zz_r5_d6_q0_s249,MNIST_QNN_zz_r5_d6_q0_s250,zz_r5_d6,loss_mia,0.5265409999999999,0.013,0.01,0.01,0.887981253862381,0.011,0.015,0.5138442295736142,20,2000,1000,1000,1000,1000,8000,0,8000,1,raw score
MNIST_QNN_zz_r5_d6_q0_s249,MNIST_QNN_zz_r5_d6_q0_s250,zz_r5_d6,learned_mia,0.5224949999999999,0.007,0.01,0.01,0.62684181821913,0.01,0.007,0.49075242856871515,20,2000,1000,1000,1000,1000,8000,0,8000,9,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_zz_r5_d6_q0_s249,MNIST_QNN_zz_r5_d6_q0_s250,zz_r5_d6,classical_stochastic_control,0.517849,0.012,0.01,0.01,0.573534047425298,0.008,0.009,0.5050544026278032,20,2000,1000,1000,1000,1000,8000,0,8000,17,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_zz_r5_d6_q0_s249,MNIST_QNN_zz_r5_d6_q0_s250,zz_r5_d6,fixed_marginal,0.49499,0.01,0.01,0.01,0.8277539943668056,0.009,0.01,0.4929581697163517,20,2000,1000,1000,1000,1000,8000,0,8000,21,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_zz_r5_d6_q0_s249,MNIST_QNN_zz_r5_d6_q0_s250,zz_r5_d6,fixed_joint,0.512127,0.013,0.01,0.01,0.7397635194794244,0.035,0.047,0.5031374150743709,20,2000,1000,1000,1000,1000,8000,0,8000,100,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_zz_r5_d6_q0_s249,MNIST_QNN_zz_r5_d6_q0_s250,zz_r5_d6,paired_probability_probe,0.517078,0.008,0.01,0.01,0.6510333307078939,0.006,0.001,0.49313470463106907,20,2000,1000,1000,1000,1000,8000,0,8000,37,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_zz_r5_d6_q0_s249,MNIST_QNN_zz_r5_d6_q0_s250,zz_r5_d6,paired_marginal_probe,0.517119,0.008,0.01,0.01,0.7332288184246329,0.013,0.008,0.5090879422578077,20,2000,1000,1000,1000,1000,8000,0,8000,67,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_zz_r5_d6_q0_s249,MNIST_QNN_zz_r5_d6_q0_s250,zz_r5_d6,paired_joint_probe,0.516988,0.01,0.01,0.01,0.842244561710258,0.007,0.007,0.5112570086710868,20,2000,1000,1000,1000,1000,8000,0,8000,304,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_zz_r5_d6_q0_s249,MNIST_QNN_zz_r5_d6_q0_s250,zz_r5_d6,clean_z_diagnostic,0.5427040000000001,0.006,0.01,0.01,0.6414675863543179,0.0,0.0,0.5380062687513645,20,2000,1000,1000,1000,1000,8000,0,8000,15,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_zz_r5_d6_q0_s250,MNIST_QNN_zz_r5_d6_q0_s251,zz_r5_d6,loss_mia,0.5327409999999999,0.013,0.01,0.01,0.9325082898139954,0.002,0.003,0.48949679837502813,20,2000,1000,1000,1000,1000,8000,0,8000,1,raw score
MNIST_QNN_zz_r5_d6_q0_s250,MNIST_QNN_zz_r5_d6_q0_s251,zz_r5_d6,learned_mia,0.5474399999999999,0.018,0.01,0.01,0.5719214116652515,0.004,0.008,0.531943861949049,20,2000,1000,1000,1000,1000,8000,0,8000,9,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_zz_r5_d6_q0_s250,MNIST_QNN_zz_r5_d6_q0_s251,zz_r5_d6,classical_stochastic_control,0.528221,0.018,0.01,0.01,0.640928318200706,0.008,0.018,0.5139580058040486,20,2000,1000,1000,1000,1000,8000,0,8000,17,"fixed MLP(64,32), seeds 41/42/43"
