scope,shots,replicate,contrast,auc_difference,advantage_difference,tpr_at_0_1pct_fpr_difference,tpr_at_1pct_fpr_difference,tpr_at_5pct_fpr_difference
eff_su2_r1_d2,32,13,matched_minus_deconvolved_mean,-0.013216666666666654,-0.023333333333333373,0.0016666666666666668,0.011666666666666665,0.020000000000000004
eff_su2_r1_d2,32,14,matched_minus_mismatched,-0.012283333333333202,-0.011666666666666659,0.0033333333333333335,0.018333333333333333,0.018333333333333333
eff_su2_r1_d2,32,14,matched_minus_naive_mean,-0.0188583333333332,-0.01666666666666669,0.0033333333333333335,0.026666666666666665,0.035
eff_su2_r1_d2,32,14,matched_minus_deconvolved_mean,0.0015000000000000568,0.006666666666666626,0.0033333333333333335,0.03166666666666667,0.05
eff_su2_r1_d2,32,15,matched_minus_mismatched,-0.008961111111111086,-0.029999999999999916,0.0,0.021666666666666667,0.013333333333333343
eff_su2_r1_d2,32,15,matched_minus_naive_mean,-0.02165555555555554,-0.039999999999999925,0.0,0.025,0.021666666666666674
eff_su2_r1_d2,32,15,matched_minus_deconvolved_mean,-0.01213333333333333,-0.04833333333333323,0.0,0.018333333333333333,0.035
eff_su2_r1_d2,32,16,matched_minus_mismatched,-0.0049916666666667275,-0.016666666666666774,0.008333333333333333,0.018333333333333333,0.034999999999999996
eff_su2_r1_d2,32,16,matched_minus_naive_mean,-0.014822222222222181,-0.041666666666666685,0.008333333333333333,0.025,0.03833333333333333
eff_su2_r1_d2,32,16,matched_minus_deconvolved_mean,-0.011400000000000077,-0.02333333333333326,0.008333333333333333,0.021666666666666667,0.045
eff_su2_r1_d2,32,17,matched_minus_mismatched,-0.010658333333333325,-0.0050000000000000044,0.0,0.0,0.011666666666666672
eff_su2_r1_d2,32,17,matched_minus_naive_mean,-0.017900000000000027,-0.029999999999999916,0.0,0.005,0.020000000000000004
eff_su2_r1_d2,32,17,matched_minus_deconvolved_mean,-0.012683333333333269,-0.015000000000000013,0.0016666666666666668,0.0,0.003333333333333334
eff_su2_r1_d2,32,18,matched_minus_mismatched,-0.0015305555555555905,0.01999999999999999,0.008333333333333335,0.013333333333333334,-0.011666666666666665
eff_su2_r1_d2,32,18,matched_minus_naive_mean,-0.005244444444444496,0.006666666666666626,0.011666666666666667,0.013333333333333334,0.0016666666666666635
eff_su2_r1_d2,32,18,matched_minus_deconvolved_mean,-0.0002777777777778212,0.01666666666666669,0.013333333333333334,0.02666666666666667,-0.011666666666666665
eff_su2_r1_d2,32,19,matched_minus_mismatched,-0.015383333333333415,-0.02333333333333333,0.005,0.018333333333333333,0.0049999999999999975
eff_su2_r1_d2,32,19,matched_minus_naive_mean,-0.021625000000000005,-0.028333333333333446,0.005,0.018333333333333333,0.021666666666666667
eff_su2_r1_d2,32,19,matched_minus_deconvolved_mean,-0.016541666666666677,-0.003333333333333313,0.005,0.016666666666666666,0.026666666666666665
eff_su2_r1_d2,32,20,matched_minus_mismatched,0.0004305555555557117,-0.006666666666666737,0.0,0.008333333333333335,0.011666666666666659
eff_su2_r1_d2,32,20,matched_minus_naive_mean,0.00023055555555562268,-5.551115123125783e-17,0.0,0.01666666666666667,0.013333333333333336
eff_su2_r1_d2,32,20,matched_minus_deconvolved_mean,-0.0077666666666665884,-0.006666666666666821,0.0,0.018333333333333333,0.013333333333333336
eff_su2_r1_d2,32,21,matched_minus_mismatched,-0.007161111111111174,-0.016666666666666753,0.008333333333333333,0.015,0.03166666666666667
eff_su2_r1_d2,32,21,matched_minus_naive_mean,-0.01418055555555553,-0.03333333333333336,0.008333333333333333,0.02,0.03833333333333333
eff_su2_r1_d2,32,21,matched_minus_deconvolved_mean,-0.02485000000000004,-0.05499999999999997,0.008333333333333333,0.015,0.034999999999999996
eff_su2_r1_d2,32,22,matched_minus_mismatched,-0.007861111111111097,-0.006666666666666668,0.006666666666666667,0.011666666666666667,0.021666666666666667
eff_su2_r1_d2,32,22,matched_minus_naive_mean,-0.017352777777777884,-0.015000000000000027,0.006666666666666667,0.013333333333333332,0.034999999999999996
eff_su2_r1_d2,32,22,matched_minus_deconvolved_mean,-0.028641666666666676,-0.035000000000000045,0.006666666666666667,0.011666666666666667,0.016666666666666663
eff_su2_r1_d2,32,23,matched_minus_mismatched,-0.006052777777777796,-0.01166666666666663,0.01,0.011666666666666669,0.016666666666666663
eff_su2_r1_d2,32,23,matched_minus_naive_mean,-0.011600000000000055,-0.03500000000000006,0.01,0.01666666666666667,0.026666666666666658
eff_su2_r1_d2,32,23,matched_minus_deconvolved_mean,-0.009408333333333352,-0.030000000000000054,0.01,0.018333333333333333,0.006666666666666654
eff_su2_r1_d2,32,24,matched_minus_mismatched,-0.0005500000000000504,-0.004999999999999949,0.006666666666666667,0.011666666666666667,0.011666666666666659
eff_su2_r1_d2,32,24,matched_minus_naive_mean,0.0004999999999999449,0.010000000000000009,0.005,0.013333333333333334,0.02833333333333333
eff_su2_r1_d2,32,24,matched_minus_deconvolved_mean,-0.012213888888888969,-0.024999999999999967,0.005,0.02,0.026666666666666665
eff_su2_r1_d2,32,25,matched_minus_mismatched,-0.010361111111111043,-0.00666666666666671,0.006666666666666667,0.023333333333333334,0.010000000000000002
eff_su2_r1_d2,32,25,matched_minus_naive_mean,-0.017874999999999974,-0.02000000000000013,0.006666666666666667,0.025,0.01666666666666667
eff_su2_r1_d2,32,25,matched_minus_deconvolved_mean,-0.029561111111111038,-0.04166666666666663,0.005,0.013333333333333334,0.006666666666666675
eff_su2_r1_d2,32,26,matched_minus_mismatched,-0.010836111111111046,-0.008333333333333331,0.0016666666666666668,0.016666666666666666,0.020000000000000004
eff_su2_r1_d2,32,26,matched_minus_naive_mean,-0.011299999999999977,-0.020000000000000046,0.0016666666666666668,0.02,0.028333333333333335
eff_su2_r1_d2,32,26,matched_minus_deconvolved_mean,-0.013727777777777672,-0.0233333333333334,0.0016666666666666668,0.015,0.04833333333333334
