scope,scope_id,mode,shots,attack,reference_count,n_replicates,auc_median,auc_q05,auc_q95,advantage_median,advantage_q05,advantage_q95,tpr_at_0_1pct_fpr_median,tpr_at_0_1pct_fpr_q05,tpr_at_0_1pct_fpr_q95,tpr_at_1pct_fpr_median,tpr_at_1pct_fpr_q05,tpr_at_1pct_fpr_q95,tpr_at_5pct_fpr_median,tpr_at_5pct_fpr_q05,tpr_at_5pct_fpr_q95
target,MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,128,latent_lira_mismatched,8,10,0.53005,0.50386,0.5694,0.10000000000000003,0.06900000000000002,0.16549999999999998,0.0,0.0,0.025499999999999988,0.005,0.0,0.046499999999999965,0.05500000000000001,0.03,0.09549999999999999
target,MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,128,loss_mia,0,10,0.53345,0.47844499999999995,0.548645,0.11499999999999999,0.07449999999999996,0.1555,0.0,0.0,0.01,0.01,0.0,0.025499999999999988,0.05,0.0,0.11099999999999997
target,MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,128,noise_augmented_lira,16,10,0.49685,0.4446,0.527875,0.06999999999999998,0.03450000000000003,0.12000000000000002,0.0,0.0,0.02,0.01,0.0,0.04549999999999999,0.04,0.0145,0.07
target,MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,128,noise_augmented_lira,4,10,0.5114000000000001,0.46856500000000006,0.5236649999999999,0.08500000000000002,0.049000000000000044,0.12,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.0045000000000000005,0.07
target,MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,128,noise_augmented_lira,8,10,0.5062,0.45833,0.554555,0.06999999999999998,0.03900000000000001,0.1255,0.0,0.0,0.025499999999999988,0.01,0.0,0.03099999999999998,0.045,0.02,0.07199999999999995
target,MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,128,target_crossfit_learned_mia,0,10,0.48815,0.44614999999999994,0.54591,0.05500000000000005,0.020000000000000018,0.15749999999999992,0.01,0.0,0.02,0.015,0.0,0.046499999999999965,0.035,0.0045000000000000005,0.08649999999999998
target,MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,512,affine_channel_lira,16,10,0.5114,0.42539,0.5951799999999999,0.095,0.03450000000000003,0.1784999999999999,0.0,0.0,0.03,0.01,0.0,0.04549999999999999,0.03,0.01,0.141
target,MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,512,affine_channel_lira,4,10,0.49225,0.43787,0.5500200000000001,0.06500000000000006,0.024500000000000022,0.14649999999999996,0.0,0.0,0.005499999999999989,0.0,0.0,0.025499999999999988,0.045,0.009000000000000001,0.08549999999999999
target,MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,512,affine_channel_lira,8,10,0.46730000000000005,0.435485,0.5533,0.060000000000000005,0.02900000000000002,0.15649999999999997,0.0,0.0,0.02,0.015,0.0,0.03549999999999999,0.035,0.0145,0.10099999999999998
target,MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,512,deconvolved_lira,16,10,0.5205500000000001,0.43988,0.6033999999999999,0.095,0.03349999999999998,0.22099999999999997,0.0,0.0,0.005499999999999989,0.02,0.0,0.03,0.055,0.019,0.11199999999999996
