cell,mode,shots,fold,n_train_public_nonmember_pairs,n_test_public_nonmember_pairs,intercept,slope,scale,train_rmse,train_r_squared,train_residual_mean,train_residual_std,train_residual_skew,train_residual_excess_kurtosis,train_coverage_90pct,test_rmse,test_r_squared,test_residual_mean,test_residual_std,test_residual_skew,test_residual_excess_kurtosis,test_coverage_90pct
eff_su2_r5_d2,ideal_shot,1024,1,2460,540,-0.03659743972680274,0.9961487103519076,0.6075956510456211,0.6073486107219123,0.9457289931797704,2.224056530631208e-16,0.6073486107219123,-0.07124504056698688,0.3455793073445692,0.9024390243902439,0.6065404225485245,0.9269299493530783,0.027279107391487662,0.6059266741820055,0.014959373103536795,0.3218143008996073,0.9018518518518519
eff_su2_r5_d2,ideal_shot,1024,2,2520,480,-0.04027921876649865,0.9975253581197315,0.6049028421056668,0.6046627536492534,0.945020598342183,2.1288085932495066e-16,0.6046627536492534,-0.0468595128222991,0.36119054709875,0.9023809523809524,0.620285715871719,0.9322353526003894,0.04082739658829283,0.6189406215480716,-0.1145864080214429,0.26866443612022683,0.8895833333333333
eff_su2_r5_d2,ideal_shot,1024,3,2220,780,-0.031066226192651758,0.996836736512058,0.5928818087656678,0.5926146847112137,0.9372478056833393,3.2006429538743252e-18,0.5926146847112137,-0.060829119821126904,0.15711158160023952,0.8972972972972973,0.6468016265241027,0.9538464286306347,-0.006347485500846087,0.6467704797700969,-0.042894458211028906,0.65323511080426,0.8833333333333333
eff_su2_r5_d2,ideal_shot,1024,4,2400,600,-0.03185233226905493,0.9998729472261882,0.6207803329629594,0.6205216205812452,0.9434909687512973,-1.4876988529977099e-16,0.6205216205812452,-0.06430682118734277,0.3867521432272323,0.9016666666666666,0.5505517273568301,0.9390947211607861,-0.027033929999569283,0.5498875986275448,-0.0588478814499036,-0.13328494058635876,0.935
eff_su2_r5_d2,noisy_shot,128,0,2400,600,-0.4391514556243664,0.8353362232241504,1.8042515863999158,1.8034996582212293,0.567375614536914,-2.6793382327620447e-16,1.8034996582212293,-0.08001717356901242,0.3239311494283168,0.8991666666666667,1.8098303299337448,0.5306247299768688,-0.062046137293174666,1.8087664581131209,-0.37824246871061545,0.22261632478983007,0.9
eff_su2_r5_d2,noisy_shot,128,1,2460,540,-0.42373793442042273,0.815146631471082,1.8060918943068192,1.8053575613249266,0.5690771212450306,1.5741698820701407e-16,1.8053575613249266,-0.15637498075738393,0.28505267058920936,0.8983739837398373,1.8007784726500702,0.5124893617294521,0.013240953660398886,1.8007297922525975,-0.028177596253033035,0.447479497673442,0.9
eff_su2_r5_d2,noisy_shot,128,2,2520,480,-0.43270618050194987,0.822638828866362,1.7949930817035944,1.7942806414764023,0.5703674056407853,9.445707003160062e-17,1.7942806414764023,-0.15054523171906764,0.24722056003496284,0.9,1.8568774112508841,0.505273819442732,0.0008897876554449199,1.856877198064458,-0.06697049676415998,0.6011804732688555,0.8791666666666667
eff_su2_r5_d2,noisy_shot,128,3,2220,780,-0.4026431150395271,0.8025648355235636,1.7966134462635963,1.7958039785738191,0.5132164411955491,4.800964430811488e-17,1.7958039785738191,-0.11894021411427205,0.3292455406711534,0.8977477477477478,1.8313545392909176,0.6523980960986222,0.0004325823046911044,1.8313544882010142,-0.1561994582621791,0.2828948108948821,0.8935897435897436
eff_su2_r5_d2,noisy_shot,128,4,2400,600,-0.4585463900209312,0.832816220211016,1.8225591794455689,1.82179962151325,0.5733461434818808,-8.733754460384564e-17,1.82179962151325,-0.1703568958951015,0.3716193261663041,0.9,1.734393891577752,0.48251801576262265,0.05377971185958479,1.7335598962062193,0.012714027342755401,-0.03615829884331623,0.9133333333333333
eff_su2_r5_d2,noisy_shot,512,0,2400,600,-0.17601871900794874,0.8157639802714642,0.9520455365676507,0.9516487682501199,0.8179187169844367,2.0724163126336256e-17,0.9516487682501199,-0.05220291818422455,0.4625159973326518,0.8958333333333334,0.966563016092683,0.8109673941206992,-0.05345730237002551,0.9650836134250254,-0.29702448709598966,0.18913008824668154,0.8983333333333333
eff_su2_r5_d2,noisy_shot,512,1,2460,540,-0.17753294007925136,0.8066434167316304,0.945159327657668,0.9447750384254145,0.8252382359541925,-2.3107080837726835e-17,0.9447750384254145,-0.11376518471392565,0.4428443656968488,0.9004065040650406,0.998605088529683,0.7662202660549111,0.024823605434994383,0.9982965047773049,-0.02742849965199407,0.2327030832509518,0.8833333333333333
eff_su2_r5_d2,noisy_shot,512,2,2520,480,-0.19649258670687764,0.816104302803057,0.9544855659160398,0.9541067266211347,0.8220894023624112,1.917337540939953e-16,0.9541067266211347,-0.13034851146347343,0.3419837596633455,0.8984126984126984,0.9574505025616193,0.7800480992420765,0.05795776704710655,0.9556947013007924,0.03340981711444435,0.7644453800908222,0.8916666666666667
eff_su2_r5_d2,noisy_shot,512,3,2220,780,-0.19005760485420398,0.8195171215393082,0.9643420483356673,0.9639075621463064,0.7923433416355762,9.601928861622976e-17,0.9639075621463064,-0.09089078093729006,0.38090370994519906,0.8981981981981982,0.9280433219580708,0.8648828296824773,-0.0087220655364412,0.9280023345896009,-0.15990654192252096,0.5245437987482466,0.9025641025641026
eff_su2_r5_d2,noisy_shot,512,4,2400,600,-0.17216430069347877,0.8072972275190587,0.9590889339541778,0.9586892302760752,0.8201406470214365,-3.073467406503975e-16,0.9586892302760752,-0.1145984394843136,0.43249935193845745,0.8970833333333333,0.9383485799294122,0.7924366136000793,-0.009392860074058715,0.9383015675331537,-0.01445271022252103,0.2891474472236366,0.905
eff_su2_r5_d2,noisy_shot,1024,0,2400,600,-0.15577750744626173,0.82434257874479,0.7291170890720325,0.72881322696712,0.8866318211478773,-1.865174681370263e-16,0.72881322696712,-0.08835318750196318,0.24680762939654022,0.8995833333333333,0.7090660188511806,0.8893696704950905,-0.050376174829988234,0.7072742467381102,-0.29445843022724544,0.4765062742321713,0.9116666666666666
eff_su2_r5_d2,noisy_shot,1024,1,2460,540,-0.15162762281807396,0.814063986917313,0.7238233444396726,0.7235290474791685,0.8913083286743138,-7.9430590379686e-18,0.7235290474791685,-0.07743414681692751,0.28613816271303305,0.8979674796747967,0.7312701944013448,0.8620483270185131,0.00640512214725011,0.7312421429527016,-0.25516625790620606,0.2990172776909916,0.9018518518518519
eff_su2_r5_d2,noisy_shot,1024,2,2520,480,-0.16815544180998598,0.8214678533676593,0.7158061458274836,0.7155220393881012,0.8927549313325952,-1.3675128049351135e-16,0.7155220393881012,-0.15287090405596482,0.2667147021119618,0.9007936507936508,0.7716936740093223,0.8523566218330745,0.041272770344221124,0.7705891803899918,-0.003609424541635035,0.33173478586868166,0.86875
eff_su2_r5_d2,noisy_shot,1024,3,2220,780,-0.15452971436455765,0.8252440959464667,0.7188179250840169,0.7184940602669085,0.8744304036601247,1.6003214769371626e-17,0.7184940602669085,-0.17105617951856225,0.4001319928256013,0.8986486486486487,0.743138819897435,0.911098860693264,-0.048737726975367913,0.7415388995918063,-0.00031086390631737497,0.0667958770265451,0.8923076923076924
eff_su2_r5_d2,noisy_shot,1024,4,2400,600,-0.16992527453325823,0.817923853917424,0.7369059343985502,0.7365988262650214,0.8880029415861248,1.509903313490213e-16,0.7365988262650214,-0.11094030848844132,0.2820607539080773,0.9016666666666666,0.6761774733495421,0.8796917446861674,0.06837868213158899,0.672711179701451,-0.09280309201629483,0.23653472281007604,0.92
z_r1_d6,ideal_shot,128,0,2400,600,-0.06943727158377855,0.9950196348263647,1.0579240153931635,1.0574831218481173,0.8633727170674532,3.182639337258782e-17,1.0574831218481173,-0.15663222672143945,1.2251688464320392,0.9054166666666666,1.0220309422237077,0.8863740656011299,-0.015096854453455514,1.0219194351064527,-0.047010355856687766,1.2141349935340822,0.9083333333333333
z_r1_d6,ideal_shot,128,1,2460,540,-0.09142765545096632,1.0000144148583592,1.0652204384562898,1.0647873339706266,0.874877830983738,2.873943179192275e-16,1.0647873339706266,-0.15565142666381757,1.3503358419875369,0.9065040650406504,0.9831138606206685,0.8127932062634704,0.05333240054354166,0.9816661947916606,-0.01331330373384558,0.2931636298053517,0.9166666666666666
