cell,mode,shots,n_replicates,intercept_median,intercept_q05,intercept_q95,slope_median,slope_q05,slope_q95,scale_median,scale_q05,scale_q95,train_r_squared_median,train_r_squared_q05,train_r_squared_q95,test_r_squared_median,test_r_squared_q05,test_r_squared_q95,test_rmse_median,test_rmse_q05,test_rmse_q95,test_residual_skew_median,test_residual_skew_q05,test_residual_skew_q95,test_residual_excess_kurtosis_median,test_residual_excess_kurtosis_q05,test_residual_excess_kurtosis_q95,test_coverage_90pct_median,test_coverage_90pct_q05,test_coverage_90pct_q95
eff_su2_r5_d2,noisy_shot,128,5,-0.43270618050194987,-0.45466740314161824,-0.40686207891570625,0.822638828866362,0.8050811947130673,0.8348322226215235,1.8042515863999158,1.7953171546155948,1.819265722417819,0.5690771212450306,0.5240482758638221,0.5727503959136617,0.5124893617294521,0.4870691764986445,0.6280434228742715,1.8098303299337448,1.7476708077922156,1.8517728368588908,-0.06697049676415998,-0.3338338666209282,0.004535702623597707,0.2828948108948821,0.015596625883313037,0.5704402781497727,0.9,0.882051282051282,0.9106666666666666
eff_su2_r5_d2,noisy_shot,512,5,-0.17753294007925136,-0.1952055903363429,-0.17293518435637276,0.8157639802714642,0.8067741788891161,0.8188345577920579,0.9544855659160398,0.9465365694396645,0.9632914254593694,0.8201406470214365,0.7974584167053483,0.8246084692358363,0.7924366136000793,0.7689858326923442,0.8540997425701217,0.9574505025616193,0.9301043735523391,0.992196674042283,-0.02742849965199407,-0.26960089806129595,0.023837311647051267,0.2891474472236366,0.1978446872475356,0.716465063822307,0.8983333333333333,0.885,0.9045128205128206
z_r1_d6,ideal_shot,1024,5,0.010257584893874627,0.005276251555234879,0.011160258564750381,0.9950390041222338,0.9938539102964404,0.9964836521415134,0.37722194882358856,0.36796528278104346,0.3796640049911233,0.9808581084722479,0.9803442312945988,0.9817194703661413,0.9809459767090505,0.9738735234900097,0.9830824582619566,0.36984637105032236,0.35704247585501636,0.3965974848696114,-0.049094253606529914,-0.23292076048294255,0.11717032830004026,0.53800228781517,0.38936734219761765,1.1555320372733606,0.9116666666666666,0.8715897435897436,0.9175925925925925
z_r1_d6,ideal_shot,128,5,-0.07505708185998095,-0.08831970210379683,-0.06730505617540125,0.9962590598574449,0.9950708080981086,0.9994160476663496,1.0539402078532114,1.0366956509069174,1.0637611538436644,0.8684736600726781,0.8636372423269237,0.8737177444508833,0.8670639628818854,0.8230676442465827,0.8842480126618182,1.0382805563093236,0.9908972769412764,1.102091074832146,-0.09025400249637369,-0.2589376588384059,-0.020052714158414024,0.9803795940750462,0.35491493721628214,2.3974573551830756,0.9016666666666666,0.8948717948717949,0.9149999999999999
z_r1_d6,ideal_shot,512,5,-0.01858002091570543,-0.023199717553470344,-0.011821519681818816,0.9985021752628152,0.9983447097730965,0.9999989221307797,0.5402876262579437,0.5308464364755276,0.5417109874758174,0.9612001497555912,0.9608610796799288,0.963857646915071,0.963795288268955,0.9445417209171731,0.9654953583575285,0.5281277435229095,0.5244350018778702,0.5590979831017848,-0.041453393500521685,-0.14303554913734806,0.14781968601320447,0.7030510774979133,0.2794038247811387,0.964875029782522,0.9092592592592592,0.8849487179487179,0.9158333333333333
z_r1_d6,noisy_shot,1024,5,-0.05669648992042897,-0.09047483456053254,-0.04149658529950959,0.8461470175964019,0.8427839737099214,0.8593089428858471,0.6233319151405007,0.6196912307392125,0.6339858905075407,0.9301229890842277,0.9295198106667298,0.9340282594496564,0.9321359431146129,0.9003453802642034,0.9362284356910046,0.6376796086495258,0.5895904995651968,0.6546823012651447,0.17643566483432307,0.10676057271349168,0.39338681362446665,-0.03329271152392543,-0.19376898538266607,0.3572397311632085,0.895,0.8710256410256411,0.9335925925925926
z_r1_d6,noisy_shot,128,5,-0.1273731908147302,-0.15464459615631593,-0.10353612009846924,0.8398744083807363,0.8351851881543249,0.8572833169948877,1.152583765271957,1.1258868340339818,1.1611188503371654,0.7965663223601573,0.7886508023773863,0.8097663728312304,0.8029244173416595,0.7050672634567011,0.8320527915180139,1.1289837657119177,1.0957129414912234,1.2142511663647333,-0.08527041160631588,-0.23022669217645048,-0.021436284559374612,0.50493591701265,-0.036554950070457976,0.7839936691627579,0.9018518518518519,0.8788461538461538,0.913
z_r1_d6,noisy_shot,512,5,-0.08195761935284152,-0.11251239331884957,-0.05878735803654198,0.8519310980466469,0.8493797634972894,0.8643694502061481,0.736794671194742,0.7284710320038875,0.7423906325651783,0.906969303453091,0.9052786472399476,0.9131777101010277,0.9097715704955824,0.8607373910782466,0.9180644670774655,0.7362986327605288,0.7117068395067202,0.7676171667320218,0.07585072370954059,-0.015100242371112469,0.1432906475283819,0.1844997304523246,0.08651831233588717,0.3419637351702834,0.905,0.879102564102564,0.9182962962962963
zz_r1_d6,ideal_shot,1024,5,-0.017118275527553406,-0.029669962920753433,-0.013978746163536072,0.9997669643310976,0.9977221678079944,1.000798512790562,0.4513469055221488,0.4432831980605344,0.45658851255741384,0.9806683988906537,0.9776889299940059,0.9817290011884086,0.9766718874722475,0.9737516572000128,0.9860383541722592,0.44851935647540764,0.42707781897487473,0.47168964066096825,0.00386043578635143,-0.2191487780411845,0.08413856450730847,0.19213129023463926,0.10257555744540783,0.37193584975416777,0.9037037037037037,0.8726666666666667,0.9159166666666667
zz_r1_d6,ideal_shot,128,5,-0.11458211693463638,-0.13454558486351775,-0.09668957407548903,0.9930064983722562,0.9886732015588852,0.9996411219895406,1.2396981082607286,1.2340204322867825,1.2513309678862066,0.8705701517864634,0.8491964992598166,0.8707268790169485,0.8483296668848118,0.8309648731328887,0.9025131101015302,1.2516630982186094,1.2035590244165195,1.286597690771437,0.02366712216116316,-0.20529920445730732,0.07965964413355163,0.13787279018858367,-0.033523972350665066,0.2901451828094854,0.9,0.8925961538461539,0.9113703703703704
zz_r1_d6,ideal_shot,512,5,-0.024503796962907387,-0.040351449559905286,-0.021859065786401954,1.0006943043001422,0.9995840482844376,1.001847456765834,0.6311115931714485,0.6242910533183683,0.6348541703276611,0.9633329478925357,0.9569376684507547,0.9644587970554986,0.9537552334028094,0.9498990580648883,0.9739065611969415,0.6270071196349419,0.6119779593772496,0.6479692251450148,-0.07102258151537348,-0.2535413562988045,-0.03656695800177482,0.2149619874302049,-0.07660523719302254,0.5880765826710437,0.9016666666666666,0.8905448717948717,0.9087407407407407
zz_r1_d6,noisy_shot,1024,5,-0.10962046689655813,-0.14267053540700245,-0.0866947226793057,0.7338978427953353,0.7304007647097693,0.7409588234049151,0.6465105564919406,0.6313748792189254,0.6670279992214867,0.9263766531909987,0.9221348556885832,0.9343352869651883,0.9356018328499908,0.902367386901814,0.9429005707174881,0.6688609134011265,0.576129551151583,0.7030555053494857,-0.09165216847137837,-0.2672511234177953,0.11913153991787674,-0.009161950156762355,-0.09740724546029567,0.4255244400318502,0.88,0.8627350427350426,0.9399166666666666
zz_r1_d6,noisy_shot,128,5,-0.23760558671617327,-0.26809108549258454,-0.2101882087480965,0.7282643658757268,0.7281323972785655,0.7380762748573123,1.310563437718904,1.3038981016745552,1.323151445317317,0.7623393678532747,0.7384653714886755,0.7676513936374935,0.72967589907448,0.7075523809524725,0.8100300921679177,1.3218450368647028,1.2683253443993634,1.336459835422911,-0.1552830020003791,-0.28966228495373236,0.07276215680601941,0.27357461310262954,0.10393924604348533,0.31918016082273776,0.895,0.8939743589743591,0.9225925925925926
zz_r1_d6,noisy_shot,512,5,-0.11893924110966925,-0.15691910300443648,-0.10450605038212682,0.7367899408833902,0.7321204573655784,0.7396486496782045,0.7752499996236093,0.7585727514872487,0.7919852931042802,0.9005549938716425,0.8894979516573245,0.9088174934294779,0.896230395523322,0.868678105823897,0.9267978617971872,0.7865810773859492,0.7143895638235077,0.8278304166644175,-0.03296628824295297,-0.15422429061701437,0.01592894920922289,0.19682825539150262,-0.3025002594251126,0.5534517268063838,0.8966666666666666,0.8687749287749288,0.9349166666666666
zz_r5_d6,ideal_shot,1024,5,-0.021033964767911924,-0.02401331552940059,-0.013217150683260738,0.9937070449457737,0.9931562484822452,0.9966337659824153,0.4714045295400554,0.4592831727776766,0.47723293200393346,0.9734167776695686,0.9717765161806593,0.9742476157591886,0.9718893760986813,0.9675121011100813,0.9776003204261056,0.46592675716843107,0.43945900996435183,0.5010365101954145,-0.051731675962448584,-0.13923279511358513,0.14596605191229048,0.4156569900792495,0.09262698414614433,0.5887162062661824,0.8851851851851852,0.8682820512820513,0.9277500000000001
zz_r5_d6,ideal_shot,128,5,-0.1538581712023482,-0.16918063161461305,-0.13935421265018502,0.9916365202297082,0.9875385581755646,0.9950450966999109,1.2873298006571736,1.2802407277159098,1.304196552622972,0.8307945774471799,0.8180366260206502,0.8337224897063289,0.817222353078422,0.791712893531758,0.8554498048186145,1.3003828563832365,1.2296349474794,1.3283038847124735,-0.22922867966077082,-0.30739466202741506,0.03426212685287955,0.38230754656666566,0.00039386640683361507,1.0027931297285801,0.9037037037037037,0.8854166666666666,0.9193846153846154
zz_r5_d6,ideal_shot,512,5,-0.04464837542046622,-0.04485103205385932,-0.039875948930841836,0.9907674101933356,0.9865896192441835,0.992383346289192,0.659018681823574,0.6504106937911045,0.673670230149123,0.9483443042875896,0.9444904668270453,0.9503092156531904,0.9447845295873409,0.9343572254177602,0.9579664257478036,0.672331042055039,0.6094445885694341,0.6971484754510466,-0.08803034424257758,-0.25219850932272697,0.05387419902158902,0.38533852277350134,0.3616006182533626,0.7676709149350687,0.8916666666666667,0.8833333333333333,0.929
zz_r5_d6,noisy_shot,1024,5,-0.23531329471415763,-0.2919375433011253,-0.21309743920707444,0.5580541987978721,0.5534902598615823,0.5701389176771314,0.8036050699320332,0.78283557631487,0.8122682535433056,0.8054178899461086,0.7907298003564838,0.806725895485516,0.7672946842305111,0.7443876956409747,0.8270515194742976,0.7907264280748411,0.7523769003959176,0.8566943726454928,0.07490528391519774,-0.1640454748260728,0.1436004646087522,-0.4650878522038351,-0.5830504630181595,-0.12648866717233662,0.9066666666666666,0.8594871794871795,0.9312592592592592
zz_r5_d6,noisy_shot,128,5,-0.4070515579864446,-0.47584360705497686,-0.3788622246158301,0.5587723843420375,0.5510736900459875,0.5693335061730778,1.4770116793250945,1.4674424899909417,1.4816245452507235,0.538384768583624,0.5297000665328249,0.5510108509520432,0.5235793583349682,0.4494654612489788,0.5624770908182943,1.478871356087899,1.4617447493430793,1.511352754932196,-0.059436516181662596,-0.17429978210476643,-0.0014248279433229614,0.10314067056363951,-0.09874127211785391,0.4711844304594012,0.895,0.8903333333333333,0.9203133903133903
zz_r5_d6,noisy_shot,512,5,-0.26314296848263663,-0.3227290478753462,-0.2450822833568256,0.5573403141464007,0.5509049699077213,0.5702749726418975,0.9395058611446927,0.9134081344887397,0.9441612927759798,0.7504297930803632,0.733825332986223,0.7557666851200899,0.6989798390909103,0.6873367646282109,0.7796990480346091,0.9133956773337458,0.8910940840732718,0.9953622802639956,-0.003605463908665437,-0.0677300026887612,0.08013372589410966,-0.22298852425784377,-0.38806782042064125,0.07436309947296516,0.9092592592592592,0.8843910256410257,0.9166666666666666
