target_id,sample_id,source_split,source_index,transpiler_seed,optimization_level,backend_name,transpiled_depth,transpiled_total_gates,transpiled_one_qubit_gates,transpiled_two_qubit_gates,transpiled_multi_qubit_gates,measurement_operations,operation_counts,num_qubits,num_clbits
MNIST_QNN_eff_su2_r5_d2_s45,ba0e29e7226d1c84,train,149,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,21891c44988bbd24,train,152,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,086d5fbda4e995e8,train,154,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,c3199e30c69865aa,train,155,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,9eb567abc02bf1d9,train,157,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,e2a5a8a88a4988ec,train,160,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,77f273743d3e0616,train,162,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,ac711fec1721eac9,train,163,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,90ff2b2977a60700,train,166,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,76a6cf8a7b2309aa,train,170,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,e9f8ead428f581c1,train,172,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,e79a839c5654ca15,train,175,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,15e754d6960973ed,train,176,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,b71981c7f430f515,train,177,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,fb140ffb830b2b04,train,183,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,b99115c4a6495659,train,188,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,6f4eae91e6adac4e,train,190,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,5c63f34da6e994a4,train,193,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,798a69c9e3b3178c,train,194,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,657cfddc20300d47,train,196,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,17bb3fd869b4acbf,train,197,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,cf9d7632009a0fad,train,199,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,cc7c1cc48ef050a0,test,0,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,87b87bafed91f154,test,3,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,58ab9cfe4e90c0d4,test,4,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,708239c6a607b2de,test,7,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,f90b4aaf96ea7a6c,test,8,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,54a43e9340b8b4f2,test,11,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,c4a4e1413c1ea69b,test,14,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,3061d72cb7b12d80,test,15,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,db084837d7512913,test,16,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,6bddbdc9384d0ed3,test,18,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,51f6da4d213dcf00,test,19,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,64ad9386317b77cc,test,20,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,29472e6fe60986e3,test,22,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,d8090eae3281ed01,test,25,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,1a2128d656f62dcb,test,30,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,c83b338e2f7ff8d6,test,32,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,619dba97f8fdd29f,test,36,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,308317b4663a5e77,test,37,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,07c5c5eb45e0eb40,test,38,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,ccd7af57ad69a60a,test,40,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,b08d68376c8eb236,test,41,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,cd9f458f62a6d1e2,test,42,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,ef4d86af22f2434c,test,43,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,7f0c0192ffe4b29f,test,44,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,12b9d469f356f720,test,45,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,d3350fcfbd6f5808,test,46,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,b9bc7001ba0a6cb5,test,47,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
