target_id,experiment,role,pair_id,seed,dataset,architecture,source_run_id,fm_kind,n_wires,reps,pad_mode,fm_ent,fm_op,depth,ql_ent,ql_op,ql_rev,original_acc_train,original_acc_test,original_gap,vector_train,vector_valid,vector_test,batch_size,epochs,extra_feats
Moons_QNN_z19651_zz19652_z_s44,matched_gap_mia,low_gap_z,Moons_QNN_z19651_zz19652,44,Moons,QNN,19651,z,4,1,wrap,nan,NA,3,pairwise,cx,False,0.92,0.92,0.0,50,50,50,8,100,True
Moons_QNN_z19651_zz19652_z_s45,matched_gap_mia,low_gap_z,Moons_QNN_z19651_zz19652,45,Moons,QNN,19651,z,4,1,wrap,nan,NA,3,pairwise,cx,False,0.92,0.92,0.0,50,50,50,8,100,True
Moons_QNN_z19651_zz19652_zz_s43,matched_gap_mia,low_gap_zz,Moons_QNN_z19651_zz19652,43,Moons,QNN,19652,zz,4,1,wrap,linear,NA,3,pairwise,cx,False,0.92,0.92,0.0,50,50,50,8,100,True
Moons_QNN_z19651_zz19652_zz_s44,matched_gap_mia,low_gap_zz,Moons_QNN_z19651_zz19652,44,Moons,QNN,19652,zz,4,1,wrap,linear,NA,3,pairwise,cx,False,0.92,0.92,0.0,50,50,50,8,100,True
Moons_QNN_z19651_zz19652_zz_s45,matched_gap_mia,low_gap_zz,Moons_QNN_z19651_zz19652,45,Moons,QNN,19652,zz,4,1,wrap,linear,NA,3,pairwise,cx,False,0.92,0.92,0.0,50,50,50,8,100,True
Moons_QNN_z8521_zz8522_z_s43,matched_gap_mia,high_gap_z,Moons_QNN_z8521_zz8522,43,Moons,QNN,8521,z,4,5,wrap,nan,NA,3,linear,crz,True,1.0,0.66,0.33999999999999997,50,50,50,8,100,True
Moons_QNN_z8521_zz8522_z_s44,matched_gap_mia,high_gap_z,Moons_QNN_z8521_zz8522,44,Moons,QNN,8521,z,4,5,wrap,nan,NA,3,linear,crz,True,1.0,0.66,0.33999999999999997,50,50,50,8,100,True
Moons_QNN_z8521_zz8522_z_s45,matched_gap_mia,high_gap_z,Moons_QNN_z8521_zz8522,45,Moons,QNN,8521,z,4,5,wrap,nan,NA,3,linear,crz,True,1.0,0.66,0.33999999999999997,50,50,50,8,100,True
Moons_QNN_z8521_zz8522_zz_s43,matched_gap_mia,high_gap_zz,Moons_QNN_z8521_zz8522,43,Moons,QNN,8522,zz,4,5,wrap,linear,NA,3,linear,crz,True,1.0,0.66,0.33999999999999997,50,50,50,8,100,True
Moons_QNN_z8521_zz8522_zz_s44,matched_gap_mia,high_gap_zz,Moons_QNN_z8521_zz8522,44,Moons,QNN,8522,zz,4,5,wrap,linear,NA,3,linear,crz,True,1.0,0.66,0.33999999999999997,50,50,50,8,100,True
Moons_QNN_z8521_zz8522_zz_s45,matched_gap_mia,high_gap_zz,Moons_QNN_z8521_zz8522,45,Moons,QNN,8522,zz,4,5,wrap,linear,NA,3,linear,crz,True,1.0,0.66,0.33999999999999997,50,50,50,8,100,True
