target_id,structural_cell_id,model_seed,data_seed,risk_role,fm_kind,reps,depth,mode,shots,attack,train_accuracy,test_accuracy,accuracy_gap,train_loss,test_loss,loss_gap,roc_auc,balanced_accuracy,membership_advantage,crossfit_tpr,crossfit_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,44,43,low_risk_anchor,eff_su2,1,2,ideal_shot,512,confidence,0.762,0.662,0.09999999999999999,0.5721767898786929,0.7064494249433046,0.13427263506461168,0.4976,0.49349999999999994,-0.012999999999999994,0.541,0.554,0.045,0.08299999999999999
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,44,43,low_risk_anchor,eff_su2,1,2,ideal_shot,512,correctness,0.762,0.662,0.09999999999999999,0.5721767898786929,0.7064494249433046,0.13427263506461168,0.55,0.546,0.092,0.744,0.6519999999999999,0.0,0.0
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,44,43,low_risk_anchor,eff_su2,1,2,ideal_shot,512,loss,0.762,0.662,0.09999999999999999,0.5721767898786929,0.7064494249433046,0.13427263506461168,0.5331,0.5295,0.05899999999999998,0.639,0.58,0.045,0.08499999999999999
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,44,43,low_risk_anchor,eff_su2,1,2,ideal_shot,1024,confidence,0.789,0.678,0.11100000000000002,0.5365141916276188,0.6711319551402702,0.13461776351265145,0.50028,0.49399999999999994,-0.01200000000000001,0.492,0.504,0.056999999999999995,0.086
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,44,43,low_risk_anchor,eff_su2,1,2,ideal_shot,1024,correctness,0.789,0.678,0.11100000000000002,0.5365141916276188,0.6711319551402702,0.13461776351265145,0.5555,0.5555000000000001,0.11100000000000002,0.789,0.678,0.0,0.0
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,44,43,low_risk_anchor,eff_su2,1,2,ideal_shot,1024,loss,0.789,0.678,0.11100000000000002,0.5365141916276188,0.6711319551402702,0.13461776351265145,0.53821,0.5285,0.05700000000000001,0.635,0.5780000000000001,0.056999999999999995,0.087
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,44,43,low_risk_anchor,eff_su2,1,2,noisy_shot,128,confidence,0.6689999999999999,0.587,0.08199999999999999,0.8443421720994811,0.937760820161202,0.09341864806172087,0.50573,0.501,0.001999999999999996,0.503,0.501,0.069,0.11699999999999999
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,44,43,low_risk_anchor,eff_su2,1,2,noisy_shot,128,correctness,0.6689999999999999,0.587,0.08199999999999999,0.8443421720994811,0.937760820161202,0.09341864806172087,0.541,0.53,0.059999999999999984,0.564,0.504,0.0,0.0
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,44,43,low_risk_anchor,eff_su2,1,2,noisy_shot,128,loss,0.6689999999999999,0.587,0.08199999999999999,0.8443421720994811,0.937760820161202,0.09341864806172087,0.54262,0.536,0.072,0.601,0.529,0.067,0.124
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,44,43,low_risk_anchor,eff_su2,1,2,noisy_shot,512,confidence,0.748,0.652,0.09599999999999997,0.6203014795647468,0.7264182269425364,0.1061167473777896,0.51327,0.5145000000000001,0.029000000000000005,0.514,0.485,0.062,0.124
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,44,43,low_risk_anchor,eff_su2,1,2,noisy_shot,512,correctness,0.748,0.652,0.09599999999999997,0.6203014795647468,0.7264182269425364,0.1061167473777896,0.5479999999999999,0.5435000000000001,0.087,0.7310000000000001,0.644,0.0,0.0
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,44,43,low_risk_anchor,eff_su2,1,2,noisy_shot,512,loss,0.748,0.652,0.09599999999999997,0.6203014795647468,0.7264182269425364,0.1061167473777896,0.54137,0.5285,0.056999999999999995,0.5730000000000001,0.516,0.062,0.127
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,44,43,low_risk_anchor,eff_su2,1,2,noisy_shot,1024,confidence,0.76,0.679,0.08099999999999999,0.5822885334775784,0.6889751521646976,0.10668661868711933,0.51705,0.506,0.01200000000000001,0.45999999999999996,0.44799999999999995,0.06,0.1
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,44,43,low_risk_anchor,eff_su2,1,2,noisy_shot,1024,correctness,0.76,0.679,0.08099999999999999,0.5822885334775784,0.6889751521646976,0.10668661868711933,0.5405,0.536,0.072,0.7150000000000001,0.643,0.0,0.0
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,44,43,low_risk_anchor,eff_su2,1,2,noisy_shot,1024,loss,0.76,0.679,0.08099999999999999,0.5822885334775784,0.6889751521646976,0.10668661868711933,0.54511,0.524,0.04800000000000001,0.5469999999999999,0.499,0.06,0.10200000000000001
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,45,43,low_risk_anchor,eff_su2,1,2,exact,0,confidence,0.76,0.79,-0.030000000000000027,0.4953943025041372,0.5920957564096898,0.09670145390555263,0.4831,0.45499999999999996,-0.09000000000000002,0.31,0.4,0.05,0.09
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,45,43,low_risk_anchor,eff_su2,1,2,exact,0,correctness,0.76,0.79,-0.030000000000000027,0.4953943025041372,0.5920957564096898,0.09670145390555263,0.485,0.475,-0.05000000000000002,0.12,0.17,0.0,0.0
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,45,43,low_risk_anchor,eff_su2,1,2,exact,0,loss,0.76,0.79,-0.030000000000000027,0.4953943025041372,0.5920957564096898,0.09670145390555263,0.5082,0.485,-0.030000000000000027,0.61,0.64,0.05,0.09
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,45,43,low_risk_anchor,eff_su2,1,2,ideal_shot,128,confidence,0.675,0.628,0.046999999999999986,0.747649879847344,0.8697277519528507,0.12207787210550665,0.49819,0.49449999999999994,-0.011,0.483,0.49399999999999994,0.044000000000000004,0.101
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,45,43,low_risk_anchor,eff_su2,1,2,ideal_shot,128,correctness,0.675,0.628,0.046999999999999986,0.747649879847344,0.8697277519528507,0.12207787210550665,0.5235,0.5215,0.04299999999999998,0.476,0.433,0.0,0.0
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,45,43,low_risk_anchor,eff_su2,1,2,ideal_shot,128,loss,0.675,0.628,0.046999999999999986,0.747649879847344,0.8697277519528507,0.12207787210550665,0.52256,0.5235000000000001,0.046999999999999986,0.5559999999999999,0.509,0.05,0.10300000000000001
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,45,43,low_risk_anchor,eff_su2,1,2,ideal_shot,512,confidence,0.756,0.715,0.04100000000000002,0.5665906406752765,0.6700386358877877,0.10344799521251116,0.49524,0.496,-0.007999999999999993,0.496,0.504,0.063,0.10600000000000001
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,45,43,low_risk_anchor,eff_su2,1,2,ideal_shot,512,correctness,0.756,0.715,0.04100000000000002,0.5665906406752765,0.6700386358877877,0.10344799521251116,0.5205,0.501,0.0020000000000000074,0.5940000000000001,0.592,0.0,0.0
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,45,43,low_risk_anchor,eff_su2,1,2,ideal_shot,512,loss,0.756,0.715,0.04100000000000002,0.5665906406752765,0.6700386358877877,0.10344799521251116,0.51795,0.5075000000000001,0.015000000000000003,0.587,0.572,0.063,0.10600000000000001
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,45,43,low_risk_anchor,eff_su2,1,2,ideal_shot,1024,confidence,0.784,0.747,0.037,0.5298312373852824,0.6316017605490052,0.10177052316372281,0.49029,0.47350000000000003,-0.05299999999999998,0.44400000000000006,0.497,0.049,0.093
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,45,43,low_risk_anchor,eff_su2,1,2,ideal_shot,1024,correctness,0.784,0.747,0.037,0.5298312373852824,0.6316017605490052,0.10177052316372281,0.5185,0.5095,0.019,0.6559999999999999,0.637,0.0,0.0
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,45,43,low_risk_anchor,eff_su2,1,2,ideal_shot,1024,loss,0.784,0.747,0.037,0.5298312373852824,0.6316017605490052,0.10177052316372281,0.51535,0.49000000000000005,-0.019999999999999997,0.5650000000000001,0.585,0.049,0.097
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,45,43,low_risk_anchor,eff_su2,1,2,noisy_shot,128,confidence,0.6679999999999999,0.617,0.051000000000000004,0.7902369101057993,0.9014980029562721,0.11126109285047278,0.5032,0.5005,0.0009999999999999788,0.5519999999999999,0.5509999999999999,0.061,0.098
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,45,43,low_risk_anchor,eff_su2,1,2,noisy_shot,128,correctness,0.6679999999999999,0.617,0.051000000000000004,0.7902369101057993,0.9014980029562721,0.11126109285047278,0.5255,0.5085,0.016999999999999998,0.512,0.495,0.0,0.0
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,45,43,low_risk_anchor,eff_su2,1,2,noisy_shot,128,loss,0.6679999999999999,0.617,0.051000000000000004,0.7902369101057993,0.9014980029562721,0.11126109285047278,0.53194,0.5215,0.04299999999999999,0.557,0.514,0.05700000000000001,0.10300000000000001
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,45,43,low_risk_anchor,eff_su2,1,2,noisy_shot,512,confidence,0.746,0.702,0.044000000000000004,0.6308422138709575,0.6918772793016397,0.061035065430682135,0.5105299999999999,0.512,0.023999999999999983,0.43999999999999995,0.41600000000000004,0.054000000000000006,0.118
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,45,43,low_risk_anchor,eff_su2,1,2,noisy_shot,512,correctness,0.746,0.702,0.044000000000000004,0.6308422138709575,0.6918772793016397,0.061035065430682135,0.522,0.5095,0.019000000000000006,0.5469999999999999,0.528,0.0,0.0
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,45,43,low_risk_anchor,eff_su2,1,2,noisy_shot,512,loss,0.746,0.702,0.044000000000000004,0.6308422138709575,0.6918772793016397,0.061035065430682135,0.52295,0.5225000000000001,0.045000000000000005,0.5,0.45499999999999996,0.054000000000000006,0.118
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,45,43,low_risk_anchor,eff_su2,1,2,noisy_shot,1024,confidence,0.754,0.736,0.018000000000000016,0.5888044116059319,0.6386996986237354,0.049895287017803644,0.49267000000000005,0.48200000000000004,-0.03600000000000001,0.43,0.466,0.05,0.088
MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,45,43,low_risk_anchor,eff_su2,1,2,noisy_shot,1024,correctness,0.754,0.736,0.018000000000000016,0.5888044116059319,0.6386996986237354,0.049895287017803644,0.509,0.49000000000000005,-0.019999999999999997,0.437,0.457,0.0,0.0
