source_label,pair_id,z_run_id,zz_run_id,n_wires,depth,reps,pad_mode,ql_ent,ql_op,ql_rev,z_train,zz_train,z_test,zz_test,z_gap,zz_gap,delta_train_abs,delta_test_abs,delta_gap_abs,mean_test_acc,mean_gap
Circles_QNN,Circles_QNN_z14741_zz14742,14741,14742,3,5,2,repeatlast,pairwise,rzz,False,0.87,0.87,0.72,0.72,0.15000000000000002,0.15000000000000002,0.0,0.0,0.0,0.72,0.15000000000000002
Circles_QNN,Circles_QNN_z19691_zz19692,19691,19692,4,3,2,repeatlast,full,cx,False,0.88,0.88,0.72,0.72,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.72,0.16000000000000003
Circles_QNN,Circles_QNN_z2791_zz2792,2791,2792,2,5,4,wrap,linear,crz,False,0.85,0.85,0.71,0.71,0.14,0.14,0.0,0.0,0.0,0.71,0.14
Circles_QNN,Circles_QNN_z2801_zz2802,2801,2802,2,5,4,repeatlast,linear,crz,False,0.85,0.85,0.71,0.71,0.14,0.14,0.0,0.0,0.0,0.71,0.14
Circles_QNN,Circles_QNN_z2811_zz2812,2811,2812,2,5,4,zero,linear,crz,False,0.85,0.85,0.71,0.71,0.14,0.14,0.0,0.0,0.0,0.71,0.14
Circles_QNN,Circles_QNN_z3151_zz3152,3151,3152,3,3,1,wrap,linear,crz,False,0.85,0.85,0.71,0.71,0.14,0.14,0.0,0.0,0.0,0.71,0.14
Circles_QNN,Circles_QNN_z4231_zz4232,4231,4232,4,5,2,wrap,linear,crz,False,0.88,0.88,0.71,0.71,0.17000000000000004,0.17000000000000004,0.0,0.0,0.0,0.71,0.17000000000000004
Circles_QNN,Circles_QNN_z5431_zz5432,5431,5432,3,3,2,wrap,linear,rzz,False,0.87,0.87,0.71,0.71,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.71,0.16000000000000003
Circles_QNN,Circles_QNN_z11791_zz11792,11791,11792,2,5,4,wrap,pairwise,crz,False,0.85,0.85,0.71,0.71,0.14,0.14,0.0,0.0,0.0,0.71,0.14
Circles_QNN,Circles_QNN_z11801_zz11802,11801,11802,2,5,4,repeatlast,pairwise,crz,False,0.85,0.85,0.71,0.71,0.14,0.14,0.0,0.0,0.0,0.71,0.14
