strategy,auxiliary_target_count,shots,contrast,n_replicates,auc_difference_median,auc_difference_q05,auc_difference_q95,tpr_at_0_1pct_fpr_difference_median,tpr_at_0_1pct_fpr_difference_q05,tpr_at_0_1pct_fpr_difference_q95,actual_fpr_difference_median,actual_fpr_difference_q05,actual_fpr_difference_q95,calibrated_tpr_difference_median,calibrated_tpr_difference_q05,calibrated_tpr_difference_q95
cross_cell_2,2,512,affine_minus_loss,10,0.020515222222222212,0.012802188888888849,0.02510974444444439,0.002333333333333334,0.0009666666666666667,0.003333333333333334,-0.009500000000000001,-0.011216666666666666,-0.007450000000000001,0.01,0.008116666666666666,0.011516666666666668
cross_cell_2,2,512,affine_minus_mismatched_lira,10,0.007118777777777779,0.0006968888888888441,0.014678644444444413,0.00033333333333333327,-0.0028000000000000004,0.0016999999999999993,-0.002166666666666667,-0.004066666666666666,0.00018333333333333282,0.007666666666666667,0.005333333333333335,0.011883333333333334
cross_cell_4,4,1024,affine_minus_loss,10,0.025115000000000054,0.01804943333333337,0.032303433333333305,0.0013333333333333335,0.000666666666666667,0.003216666666666666,-0.0033333333333333335,-0.004366666666666667,-0.0021166666666666677,0.0165,0.013816666666666666,0.017849999999999998
cross_cell_4,4,1024,affine_minus_mismatched_lira,10,0.008525222222222212,0.002508611111111089,0.012157722222222231,-0.00033333333333333327,-0.00285,0.000733333333333332,-0.0013333333333333329,-0.0037666666666666664,0.000849999999999999,0.008666666666666666,0.0069999999999999975,0.013783333333333326
cross_cell_4,4,128,affine_minus_loss,10,0.01272988888888893,-0.007796577777777816,0.023436422222222118,0.0036666666666666666,0.0005333333333333334,0.0060666666666666655,-0.0008333333333333335,-0.0028499999999999997,0.003249999999999998,0.013166666666666667,0.009933333333333334,0.0157
cross_cell_4,4,128,affine_minus_mismatched_lira,10,0.00627044444444444,0.0009401999999999495,0.01898358888888884,0.005,0.0015666666666666667,0.007333333333333333,-0.006000000000000001,-0.011433333333333334,-0.0019999999999999996,0.006,-0.00018333333333333317,0.007883333333333332
cross_cell_4,4,512,affine_minus_loss,10,0.020988555555555566,0.014205877777777806,0.02591120000000001,0.002666666666666667,0.0009666666666666667,0.004,-0.0015000000000000005,-0.004066666666666666,-0.00030000000000000084,0.015166666666666669,0.011566666666666666,0.016516666666666666
cross_cell_4,4,512,affine_minus_mismatched_lira,10,0.007498444444444502,0.0013347333333333239,0.015540722222222187,0.0006666666666666668,-0.0028000000000000004,0.002,-0.002333333333333333,-0.005333333333333333,-0.0006666666666666669,0.009,0.004966666666666666,0.012316666666666662
cross_cell_8,8,1024,affine_minus_loss,10,0.025320777777777803,0.018064855555555565,0.03262572222222225,0.0013333333333333335,0.0003,0.003033333333333333,-0.003,-0.005216666666666667,-0.0011166666666666686,0.016666666666666666,0.013783333333333333,0.018516666666666664
cross_cell_8,8,1024,affine_minus_mismatched_lira,10,0.008518333333333294,0.0029986444444444677,0.012291755555555554,-0.001,-0.003033333333333333,0.0010333333333333325,-0.0006666666666666665,-0.0042,0.001333333333333334,0.007666666666666668,0.005999999999999999,0.012233333333333329
cross_cell_8,8,128,affine_minus_loss,10,0.012745555555555566,-0.0077441222222222605,0.02311832222222212,0.004,0.00016666666666666653,0.006066666666666665,-0.0006666666666666665,-0.003333333333333333,0.0030999999999999977,0.013,0.009783333333333333,0.015183333333333333
cross_cell_8,8,128,affine_minus_mismatched_lira,10,0.006254111111111127,0.0004886111111110925,0.0189341222222222,0.005,0.0012000000000000001,0.007333333333333333,-0.0061666666666666675,-0.010866666666666667,-0.0009666666666666678,0.0061666666666666675,0.00011666666666666737,0.007666666666666668
cross_cell_8,8,512,affine_minus_loss,10,0.0207165555555556,0.013615488888888888,0.02593000000000001,0.002666666666666667,0.0006666666666666666,0.004,-0.001666666666666667,-0.0047333333333333324,0.00018333333333333282,0.015333333333333334,0.012266666666666667,0.01755
cross_cell_8,8,512,affine_minus_mismatched_lira,10,0.007303444444444501,0.001760411111111071,0.015395022222222204,0.0006666666666666668,-0.0034666666666666665,0.0019999999999999996,-0.002666666666666666,-0.0042166666666666654,0.0008833333333333315,0.008666666666666665,0.006150000000000001,0.012983333333333331
same_cell_2,2,1024,affine_minus_loss,10,0.023595777777777882,0.014410555555555565,0.02939648888888885,0.002,0.0003,0.004433333333333332,0.000666666666666667,-0.004733333333333334,0.002,0.011666666666666667,0.008833333333333334,0.015033333333333333
same_cell_2,2,1024,affine_minus_mismatched_lira,10,0.004877333333333289,0.0008320222222222063,0.009386311111111038,-0.001,-0.0020000000000000005,0.0013333333333333335,0.0,-0.002433333333333334,0.0016999999999999997,0.004333333333333333,0.0019333333333333333,0.008799999999999999
same_cell_2,2,128,affine_minus_loss,10,0.014639000000000013,-0.007434155555555555,0.026052822222222143,0.003666666666666667,0.0019333333333333333,0.007399999999999999,-0.0006666666666666678,-0.0041333333333333335,0.0025666666666666615,0.013000000000000001,0.0092,0.016733333333333333
same_cell_2,2,128,affine_minus_mismatched_lira,10,0.0070222222222222075,0.0019359333333333229,0.020858022222222217,0.004666666666666666,0.0026666666666666666,0.008799999999999997,-0.00033333333333333305,-0.0054666666666666665,0.004133333333333331,0.009333333333333332,0.0048333333333333344,0.013033333333333333
same_cell_2,2,512,affine_minus_loss,10,0.018372222222222234,0.012230111111111119,0.02698919999999994,0.003,0.0012666666666666666,0.0060666666666666655,-0.001666666666666667,-0.0030333333333333323,0.0031666666666666623,0.014333333333333332,0.0089,0.01666666666666667
same_cell_2,2,512,affine_minus_mismatched_lira,10,0.005240000000000078,-0.0006607999999999059,0.012849022222222284,0.001,-0.000666666666666667,0.002733333333333332,-0.0006666666666666661,-0.0023666666666666662,0.0036999999999999997,0.007333333333333334,0.0018666666666666666,0.0097
