strategy,auxiliary_target_count,subset_replicate,shots,contrast,n_simulator_seeds,auc_difference,tpr_at_0_1pct_fpr_difference,actual_fpr_difference,calibrated_tpr_difference
cross_cell_2,2,27,128,affine_minus_mismatched_lira,10,0.006719555555555645,0.004333333333333333,0.0006666666666666661,0.024
cross_cell_2,2,27,512,affine_minus_loss,10,0.02302622222222228,0.003,0.004999999999999999,0.030333333333333337
cross_cell_2,2,27,512,affine_minus_mismatched_lira,10,0.010197555555555626,0.0013333333333333335,0.009333333333333332,0.027999999999999997
cross_cell_2,2,28,1024,affine_minus_loss,10,0.022098666666666655,0.002,-0.022333333333333334,-0.0013333333333333322
cross_cell_2,2,28,1024,affine_minus_mismatched_lira,10,0.005940222222222291,-0.00033333333333333327,-0.000666666666666667,0.008333333333333333
cross_cell_2,2,28,128,affine_minus_loss,10,0.009277444444444505,0.003333333333333333,-0.008333333333333331,0.008666666666666666
cross_cell_2,2,28,128,affine_minus_mismatched_lira,10,0.004306000000000032,0.003666666666666667,-0.018333333333333333,-0.004
cross_cell_2,2,28,512,affine_minus_loss,10,0.016414444444444454,0.002666666666666667,-0.018666666666666665,0.0003333333333333348
cross_cell_2,2,28,512,affine_minus_mismatched_lira,10,0.003219777777777877,0.0,-0.004666666666666666,0.006666666666666668
cross_cell_2,2,29,1024,affine_minus_loss,10,0.02478177777777779,0.001,-0.002,0.018666666666666665
cross_cell_2,2,29,1024,affine_minus_mismatched_lira,10,0.009047111111111061,-0.002,-0.002999999999999999,0.005666666666666665
cross_cell_2,2,29,128,affine_minus_loss,10,0.011305444444444479,0.0006666666666666666,0.0,0.014333333333333333
cross_cell_2,2,29,128,affine_minus_mismatched_lira,10,0.005103555555555528,0.002333333333333333,-0.011666666666666665,0.001333333333333334
cross_cell_2,2,29,512,affine_minus_loss,10,0.02195666666666668,0.002666666666666667,0.0,0.017333333333333333
cross_cell_2,2,29,512,affine_minus_mismatched_lira,10,0.007871111111111162,0.0006666666666666668,-0.004666666666666666,0.005666666666666665
