strategy,auxiliary_target_count,subset_replicate,shots,simulator_seed,contrast,comparator_attack,auc_difference,tpr_at_0_1pct_fpr_difference,actual_fpr_difference,calibrated_tpr_difference
cross_cell_2,2,0,1024,9,affine_minus_mismatched_lira,latent_lira_mismatched,0.002614666666666543,-0.002666666666666667,-0.002,-0.004
cross_cell_2,2,0,1024,9,affine_minus_loss,loss_mia,0.011250666666666742,0.0013333333333333335,-0.020666666666666667,-0.003333333333333334
cross_cell_2,2,0,128,0,affine_minus_mismatched_lira,latent_lira_mismatched,0.016913777777777805,0.004666666666666667,-0.013333333333333332,-0.014666666666666668
cross_cell_2,2,0,128,0,affine_minus_loss,loss_mia,0.014502222222222194,0.004,-0.011333333333333334,-0.0006666666666666661
cross_cell_2,2,0,128,1,affine_minus_mismatched_lira,latent_lira_mismatched,0.0031102222222222364,0.007333333333333333,-0.012,-0.002666666666666668
cross_cell_2,2,0,128,1,affine_minus_loss,loss_mia,-0.016862666666666692,0.007333333333333333,-0.016,-0.0006666666666666696
cross_cell_2,2,0,128,2,affine_minus_mismatched_lira,latent_lira_mismatched,-0.0011097777777778761,0.006,-0.008,-0.005999999999999998
cross_cell_2,2,0,128,2,affine_minus_loss,loss_mia,-0.0030351111111112106,0.004,-0.015333333333333334,0.00466666666666667
cross_cell_2,2,0,128,3,affine_minus_mismatched_lira,latent_lira_mismatched,-0.003007555555555652,0.0,-0.002666666666666666,-0.004
cross_cell_2,2,0,128,3,affine_minus_loss,loss_mia,0.013552888888888837,-0.0013333333333333335,-0.014666666666666668,0.0026666666666666644
cross_cell_2,2,0,128,4,affine_minus_mismatched_lira,latent_lira_mismatched,0.007300000000000084,0.004666666666666667,-0.009333333333333332,-0.005999999999999998
cross_cell_2,2,0,128,4,affine_minus_loss,loss_mia,0.0209124444444444,0.002666666666666667,-0.012,0.005333333333333336
cross_cell_2,2,0,128,5,affine_minus_mismatched_lira,latent_lira_mismatched,0.005727111111111127,0.002,-0.013333333333333332,-0.012
cross_cell_2,2,0,128,5,affine_minus_loss,loss_mia,0.006852666666666729,0.002,-0.015333333333333334,-0.0020000000000000018
cross_cell_2,2,0,128,6,affine_minus_mismatched_lira,latent_lira_mismatched,0.002775555555555531,0.002666666666666667,-0.0013333333333333322,-0.011333333333333334
cross_cell_2,2,0,128,6,affine_minus_loss,loss_mia,0.015742444444444503,0.002,-0.014666666666666665,0.006666666666666668
cross_cell_2,2,0,128,7,affine_minus_mismatched_lira,latent_lira_mismatched,0.005074222222222202,0.006,-0.014666666666666666,-0.009333333333333332
