shots,simulator_seed,contrast,treatment_strategy,comparator_strategy,auc_difference,actual_fpr_difference,calibrated_tpr_difference
512,5,cross_cell_8_minus_cross_cell_2,cross_cell_8,cross_cell_2,0.00022755555555553642,-0.002999999999999999,-0.004
512,5,cross_cell_12_minus_cross_cell_2,cross_cell_12,cross_cell_2,0.000576888888888849,-0.004,-0.0026666666666666644
512,6,cross_cell_2_minus_same_cell_2,cross_cell_2,same_cell_2,0.002488222222222114,0.0036666666666666653,0.004333333333333335
512,6,cross_cell_4_minus_cross_cell_2,cross_cell_4,cross_cell_2,0.0005771111111111393,-0.0019999999999999983,-0.0023333333333333366
512,6,cross_cell_8_minus_cross_cell_2,cross_cell_8,cross_cell_2,0.0001751111111112369,-0.0029999999999999975,-0.004333333333333335
512,6,cross_cell_12_minus_cross_cell_2,cross_cell_12,cross_cell_2,0.00045533333333347414,-0.0029999999999999975,-0.0030000000000000027
512,7,cross_cell_2_minus_same_cell_2,cross_cell_2,same_cell_2,0.001332888888888828,0.004,0.008
512,7,cross_cell_4_minus_cross_cell_2,cross_cell_4,cross_cell_2,0.0007244444444445275,-0.002333333333333333,-0.004
512,7,cross_cell_8_minus_cross_cell_2,cross_cell_8,cross_cell_2,0.0011842222222222532,-0.002,-0.006666666666666668
512,7,cross_cell_12_minus_cross_cell_2,cross_cell_12,cross_cell_2,0.00153777777777786,-0.002,-0.005999999999999998
512,8,cross_cell_2_minus_same_cell_2,cross_cell_2,same_cell_2,-0.0004493333333333016,-0.001333333333333334,0.004
512,8,cross_cell_4_minus_cross_cell_2,cross_cell_4,cross_cell_2,0.0007566666666667388,-0.0013333333333333322,-0.0016666666666666635
512,8,cross_cell_8_minus_cross_cell_2,cross_cell_8,cross_cell_2,0.0011173333333334146,-0.001666666666666667,-0.0029999999999999957
512,8,cross_cell_12_minus_cross_cell_2,cross_cell_12,cross_cell_2,0.0010946666666666882,-0.002,-0.0019999999999999983
512,9,cross_cell_2_minus_same_cell_2,cross_cell_2,same_cell_2,0.001179333333333199,0.003333333333333334,0.0036666666666666653
512,9,cross_cell_4_minus_cross_cell_2,cross_cell_4,cross_cell_2,0.0012066666666666892,-0.002,-0.0003333333333333313
512,9,cross_cell_8_minus_cross_cell_2,cross_cell_8,cross_cell_2,0.0012706666666666422,-0.002,-0.005666666666666667
512,9,cross_cell_12_minus_cross_cell_2,cross_cell_12,cross_cell_2,0.0014686666666667847,-0.002666666666666668,-0.004333333333333331
1024,0,cross_cell_2_minus_same_cell_2,cross_cell_2,same_cell_2,0.003424222222222162,0.002,0.007333333333333334
1024,0,cross_cell_4_minus_cross_cell_2,cross_cell_4,cross_cell_2,0.0015126666666666067,-0.002333333333333335,-0.0003333333333333348
1024,0,cross_cell_8_minus_cross_cell_2,cross_cell_8,cross_cell_2,0.0018095555555556198,-0.002666666666666668,-0.004
1024,0,cross_cell_12_minus_cross_cell_2,cross_cell_12,cross_cell_2,0.0017557777777778005,-0.003333333333333334,-0.0026666666666666644
1024,1,cross_cell_2_minus_same_cell_2,cross_cell_2,same_cell_2,0.00205466666666676,-0.0006666666666666661,0.0013333333333333322
