strategy,auxiliary_target_count,shots,attack,n_replicates,actual_fpr_median,actual_fpr_q05,actual_fpr_q95,calibrated_tpr_median,calibrated_tpr_q05,calibrated_tpr_q95
cross_cell_4,4,512,loss_mia,10,0.013666666666666667,0.012266666666666667,0.01555,0.010166666666666668,0.008483333333333332,0.011883333333333333
cross_cell_8,8,1024,affine_channel_lira,10,0.011,0.009633333333333334,0.012516666666666666,0.026333333333333334,0.023816666666666667,0.02843333333333333
cross_cell_8,8,1024,latent_lira_mismatched,10,0.011,0.009816666666666666,0.015166666666666663,0.018500000000000003,0.013566666666666666,0.020366666666666665
cross_cell_8,8,1024,loss_mia,10,0.014833333333333334,0.013483333333333333,0.0157,0.01,0.008116666666666666,0.010666666666666666
cross_cell_8,8,128,affine_channel_lira,10,0.011333333333333334,0.00835,0.01413333333333333,0.0235,0.020633333333333333,0.02503333333333333
cross_cell_8,8,128,latent_lira_mismatched,10,0.017333333333333333,0.013633333333333334,0.0197,0.018166666666666664,0.014966666666666666,0.021766666666666667
cross_cell_8,8,128,loss_mia,10,0.012,0.008316666666666667,0.015333333333333332,0.010666666666666666,0.0076,0.011883333333333333
cross_cell_8,8,512,affine_channel_lira,10,0.011166666666666667,0.009483333333333333,0.013333333333333334,0.0245,0.02163333333333333,0.027000000000000003
cross_cell_8,8,512,latent_lira_mismatched,10,0.013000000000000001,0.011333333333333334,0.016066666666666663,0.014833333333333334,0.013300000000000001,0.019516666666666665
cross_cell_8,8,512,loss_mia,10,0.013166666666666667,0.0109,0.015033333333333333,0.009166666666666667,0.007633333333333333,0.010849999999999999
same_cell_2,2,1024,affine_channel_lira,10,0.012333333333333333,0.0092,0.015399999999999999,0.025,0.0226,0.028366666666666665
same_cell_2,2,1024,latent_lira_mismatched,10,0.012666666666666666,0.0106,0.014,0.020666666666666667,0.0183,0.022366666666666667
same_cell_2,2,1024,loss_mia,10,0.013000000000000001,0.010966666666666666,0.014366666666666666,0.013000000000000001,0.0103,0.016366666666666665
