strategy,auxiliary_target_count,shots,simulator_seed,attack,n_subset_replicates,actual_fpr,calibrated_tpr
cross_cell_2,2,1024,1,loss_mia,66,0.024333333333333332,0.023
cross_cell_2,2,1024,2,affine_channel_lira,66,0.012,0.03033333333333333
cross_cell_2,2,1024,2,latent_lira_mismatched,66,0.013000000000000001,0.020333333333333335
cross_cell_2,2,1024,2,loss_mia,66,0.027333333333333334,0.020666666666666667
cross_cell_2,2,1024,3,affine_channel_lira,66,0.012666666666666666,0.029666666666666668
cross_cell_2,2,1024,3,latent_lira_mismatched,66,0.012,0.017666666666666664
cross_cell_2,2,1024,3,loss_mia,66,0.024,0.019666666666666666
cross_cell_2,2,1024,4,affine_channel_lira,66,0.013333333333333334,0.03
cross_cell_2,2,1024,4,latent_lira_mismatched,66,0.014,0.02266666666666667
cross_cell_2,2,1024,4,loss_mia,66,0.026333333333333334,0.02
cross_cell_2,2,1024,5,affine_channel_lira,66,0.012,0.028999999999999998
cross_cell_2,2,1024,5,latent_lira_mismatched,66,0.012333333333333333,0.021333333333333333
cross_cell_2,2,1024,5,loss_mia,66,0.024666666666666667,0.022333333333333334
cross_cell_2,2,1024,6,affine_channel_lira,66,0.013000000000000001,0.02666666666666667
cross_cell_2,2,1024,6,latent_lira_mismatched,66,0.014666666666666666,0.018
cross_cell_2,2,1024,6,loss_mia,66,0.026666666666666665,0.021666666666666667
cross_cell_2,2,1024,7,affine_channel_lira,66,0.014,0.028666666666666667
cross_cell_2,2,1024,7,latent_lira_mismatched,66,0.012666666666666666,0.022
cross_cell_2,2,1024,7,loss_mia,66,0.025333333333333333,0.021666666666666667
cross_cell_2,2,1024,8,affine_channel_lira,66,0.014,0.03
cross_cell_2,2,1024,8,latent_lira_mismatched,66,0.013333333333333334,0.02266666666666667
cross_cell_2,2,1024,8,loss_mia,66,0.025666666666666664,0.021666666666666667
cross_cell_2,2,1024,9,affine_channel_lira,66,0.014,0.028666666666666667
cross_cell_2,2,1024,9,latent_lira_mismatched,66,0.017333333333333333,0.020999999999999998
