strategy,auxiliary_target_count,shots,attack,n_replicates,auc_median,auc_q05,auc_q95,advantage_median,advantage_q05,advantage_q95,tpr_at_0_1pct_fpr_median,tpr_at_0_1pct_fpr_q05,tpr_at_0_1pct_fpr_q95,tpr_at_1pct_fpr_median,tpr_at_1pct_fpr_q05,tpr_at_1pct_fpr_q95,tpr_at_5pct_fpr_median,tpr_at_5pct_fpr_q05,tpr_at_5pct_fpr_q95
cross_cell_4,4,128,loss_mia,32,0.5650198888888889,0.5650198888888889,0.5650198888888889,0.12766666666666665,0.12766666666666665,0.12766666666666665,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.009666666666666667,0.009666666666666667,0.009666666666666667,0.047,0.047,0.047
cross_cell_4,4,512,affine_channel_lira,32,0.5952218888888889,0.5923814888888889,0.5968069111111111,0.13749999999999996,0.13385000000000005,0.14,0.003666666666666667,0.003,0.004666666666666667,0.024166666666666666,0.023183333333333334,0.026000000000000002,0.09533333333333334,0.09269999999999999,0.09766666666666667
cross_cell_4,4,512,latent_lira_mismatched,32,0.588883111111111,0.588883111111111,0.588883111111111,0.13866666666666666,0.13866666666666666,0.13866666666666666,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.014333333333333333,0.014333333333333333,0.014333333333333333,0.07233333333333333,0.07233333333333333,0.07233333333333333
cross_cell_4,4,512,loss_mia,32,0.5756915555555555,0.5756915555555555,0.5756915555555555,0.15066666666666667,0.15066666666666667,0.15066666666666667,0.0006666666666666666,0.0006666666666666666,0.0006666666666666666,0.007333333333333333,0.007333333333333333,0.007333333333333333,0.043,0.043,0.043
cross_cell_8,8,1024,affine_channel_lira,32,0.6025787777777778,0.6012509222222222,0.6038563666666666,0.14733333333333337,0.14570000000000002,0.1493,0.003333333333333333,0.003,0.004,0.023833333333333335,0.023,0.025966666666666666,0.09633333333333333,0.09440000000000001,0.09915
cross_cell_8,8,1024,latent_lira_mismatched,32,0.596576,0.596576,0.596576,0.14633333333333337,0.14633333333333337,0.14633333333333337,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.014666666666666666,0.014666666666666666,0.014666666666666666,0.07266666666666666,0.07266666666666666,0.07266666666666666
cross_cell_8,8,1024,loss_mia,32,0.57747,0.57747,0.57747,0.15433333333333332,0.15433333333333332,0.15433333333333332,0.002,0.002,0.002,0.008,0.008,0.008,0.04033333333333333,0.04033333333333333,0.04033333333333333
cross_cell_8,8,128,affine_channel_lira,32,0.5749066666666667,0.5742028888888889,0.5755151444444445,0.11283333333333333,0.10988333333333336,0.11511666666666667,0.005666666666666667,0.004666666666666667,0.006,0.022333333333333334,0.021333333333333333,0.02366666666666667,0.0865,0.08466666666666667,0.08848333333333333
cross_cell_8,8,128,latent_lira_mismatched,32,0.5680675555555555,0.5680675555555555,0.5680675555555555,0.11233333333333331,0.11233333333333331,0.11233333333333331,0.0,0.0,0.0,0.01,0.01,0.01,0.059,0.059,0.059
cross_cell_8,8,128,loss_mia,32,0.5650198888888889,0.5650198888888889,0.5650198888888889,0.12766666666666665,0.12766666666666665,0.12766666666666665,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.009666666666666667,0.009666666666666667,0.009666666666666667,0.047,0.047,0.047
cross_cell_8,8,512,affine_channel_lira,32,0.5955253333333334,0.5936015555555556,0.5965597222222222,0.13666666666666671,0.13485000000000003,0.1388166666666667,0.0033333333333333335,0.0033333333333333335,0.004,0.024,0.022850000000000002,0.02563333333333333,0.09416666666666666,0.09251666666666668,0.09648333333333332
cross_cell_8,8,512,latent_lira_mismatched,32,0.588883111111111,0.588883111111111,0.588883111111111,0.13866666666666666,0.13866666666666666,0.13866666666666666,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.014333333333333333,0.014333333333333333,0.014333333333333333,0.07233333333333333,0.07233333333333333,0.07233333333333333
cross_cell_8,8,512,loss_mia,32,0.5756915555555555,0.5756915555555555,0.5756915555555555,0.15066666666666667,0.15066666666666667,0.15066666666666667,0.0006666666666666666,0.0006666666666666666,0.0006666666666666666,0.007333333333333333,0.007333333333333333,0.007333333333333333,0.043,0.043,0.043
same_cell_2,2,1024,affine_channel_lira,1,0.6013235555555556,0.6013235555555556,0.6013235555555556,0.1436666666666666,0.1436666666666666,0.1436666666666666,0.004333333333333333,0.004333333333333333,0.004333333333333333,0.03033333333333333,0.03033333333333333,0.03033333333333333,0.10066666666666667,0.10066666666666667,0.10066666666666667
same_cell_2,2,1024,latent_lira_mismatched,1,0.596576,0.596576,0.596576,0.14633333333333337,0.14633333333333337,0.14633333333333337,0.004666666666666667,0.004666666666666667,0.004666666666666667,0.014666666666666666,0.014666666666666666,0.014666666666666666,0.07266666666666666,0.07266666666666666,0.07266666666666666
same_cell_2,2,1024,loss_mia,1,0.57747,0.57747,0.57747,0.15433333333333332,0.15433333333333332,0.15433333333333332,0.002,0.002,0.002,0.008,0.008,0.008,0.04033333333333333,0.04033333333333333,0.04033333333333333
same_cell_2,2,128,affine_channel_lira,1,0.5744202222222221,0.5744202222222221,0.5744202222222221,0.10899999999999999,0.10899999999999999,0.10899999999999999,0.005333333333333333,0.005333333333333333,0.005333333333333333,0.025,0.025,0.025,0.08666666666666667,0.08666666666666667,0.08666666666666667
same_cell_2,2,128,latent_lira_mismatched,1,0.5680675555555555,0.5680675555555555,0.5680675555555555,0.11233333333333331,0.11233333333333331,0.11233333333333331,0.0,0.0,0.0,0.01,0.01,0.01,0.059,0.059,0.059
same_cell_2,2,128,loss_mia,1,0.5650198888888889,0.5650198888888889,0.5650198888888889,0.12766666666666665,0.12766666666666665,0.12766666666666665,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.009666666666666667,0.009666666666666667,0.009666666666666667,0.047,0.047,0.047
same_cell_2,2,512,affine_channel_lira,1,0.5936071111111112,0.5936071111111112,0.5936071111111112,0.13500000000000004,0.13500000000000004,0.13500000000000004,0.004333333333333333,0.004333333333333333,0.004333333333333333,0.029666666666666668,0.029666666666666668,0.029666666666666668,0.09666666666666666,0.09666666666666666,0.09666666666666666
same_cell_2,2,512,latent_lira_mismatched,1,0.588883111111111,0.588883111111111,0.588883111111111,0.13866666666666666,0.13866666666666666,0.13866666666666666,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.014333333333333333,0.014333333333333333,0.014333333333333333,0.07233333333333333,0.07233333333333333,0.07233333333333333
same_cell_2,2,512,loss_mia,1,0.5756915555555555,0.5756915555555555,0.5756915555555555,0.15066666666666667,0.15066666666666667,0.15066666666666667,0.0006666666666666666,0.0006666666666666666,0.0006666666666666666,0.007333333333333333,0.007333333333333333,0.007333333333333333,0.043,0.043,0.043
