scope,scope_id,scheme,mode,shots,simulator_seed,attack,reference_count,n_member,n_nonmember,auc,advantage,tpr_at_0_1pct_fpr,attained_fpr_at_0_1pct_fpr,tpr_at_1pct_fpr,attained_fpr_at_1pct_fpr,tpr_at_5pct_fpr,attained_fpr_at_5pct_fpr
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,ideal_shot,128,0,matched_reference_lira_offline,16,1000,1000,0.49810200000000004,0.018000000000000016,0.001,0.0,0.015,0.01,0.053,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,ideal_shot,128,0,matched_reference_lira_offline,16,1000,1000,0.469479,0.0020000000000000018,0.0,0.0,0.005,0.006,0.04,0.048
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,1,matched_reference_lira_offline,16,3000,3000,0.49172961111111113,0.007000000000000006,0.0006666666666666666,0.0006666666666666666,0.008333333333333333,0.01,0.043666666666666666,0.04933333333333333
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,ideal_shot,128,1,matched_reference_lira_offline,16,1000,1000,0.4840185,0.0040000000000000036,0.0,0.0,0.009,0.006,0.039,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,ideal_shot,128,1,matched_reference_lira_offline,16,1000,1000,0.491488,0.009999999999999981,0.002,0.001,0.008,0.01,0.046,0.049
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,ideal_shot,128,1,matched_reference_lira_offline,16,1000,1000,0.49838799999999994,0.038000000000000034,0.001,0.0,0.005,0.007,0.042,0.049
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,0,matched_reference_lira_offline_fixed_variance,16,3000,3000,0.4819076666666667,0.0023333333333334094,0.0013333333333333333,0.001,0.007,0.009333333333333334,0.039,0.049666666666666665
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,ideal_shot,128,0,matched_reference_lira_offline_fixed_variance,16,1000,1000,0.46941799999999995,0.008,0.0,0.0,0.008,0.009,0.045,0.048
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,ideal_shot,128,0,matched_reference_lira_offline_fixed_variance,16,1000,1000,0.5003965,0.026000000000000023,0.002,0.0,0.006,0.009,0.044,0.049
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,ideal_shot,128,0,matched_reference_lira_offline_fixed_variance,16,1000,1000,0.475833,0.008000000000000007,0.002,0.001,0.009,0.01,0.031,0.045
