Target ID,Target seed,Risk configuration,Structural cell,Mode,Shots,Simulator seeds,Δ test accuracy vs exact,Δ test accuracy 95% CI,Δ loss AUC vs exact,Δ loss AUC 95% CI,Valid bootstrap
MNIST_QNN_z_r1_d6_s43,43,medium_risk_z_anchor,z_r1_d6,noisy_shot,512,10,-0.033,"[-0.042, -0.023]",-0.01289,"[-0.018, -0.009]",5000
MNIST_QNN_z_r1_d6_s43,43,medium_risk_z_anchor,z_r1_d6,noisy_shot,1024,10,-0.028,"[-0.036, -0.020]",-0.0105,"[-0.013, -0.008]",5000
MNIST_QNN_z_r1_d6_s44,44,medium_risk_z_anchor,z_r1_d6,ideal_shot,128,10,-0.034,"[-0.048, -0.020]",-0.0020699999999999,"[-0.005, 0.002]",5000
MNIST_QNN_z_r1_d6_s44,44,medium_risk_z_anchor,z_r1_d6,ideal_shot,512,10,-0.012,"[-0.021, -0.002]",0.00139,"[-0.002, 0.005]",5000
MNIST_QNN_z_r1_d6_s44,44,medium_risk_z_anchor,z_r1_d6,ideal_shot,1024,10,0.0,"[-0.008, 0.008]",-0.0006799999999999,"[-0.004, 0.003]",5000
MNIST_QNN_z_r1_d6_s44,44,medium_risk_z_anchor,z_r1_d6,noisy_shot,128,10,-0.042,"[-0.062, -0.020]",-0.0235099999999999,"[-0.029, -0.017]",5000
MNIST_QNN_z_r1_d6_s44,44,medium_risk_z_anchor,z_r1_d6,noisy_shot,512,10,-0.042,"[-0.054, -0.030]",-0.0168699999999999,"[-0.022, -0.012]",5000
MNIST_QNN_z_r1_d6_s44,44,medium_risk_z_anchor,z_r1_d6,noisy_shot,1024,10,-0.042,"[-0.048, -0.036]",-0.0170999999999999,"[-0.021, -0.013]",5000
MNIST_QNN_z_r1_d6_s45,45,medium_risk_z_anchor,z_r1_d6,ideal_shot,128,10,-0.033,"[-0.049, -0.019]",-0.0144599999999999,"[-0.023, -0.006]",5000
MNIST_QNN_z_r1_d6_s45,45,medium_risk_z_anchor,z_r1_d6,ideal_shot,512,10,-0.01,"[-0.021, 0.000]",-0.0079499999999999,"[-0.017, 0.000]",5000
MNIST_QNN_z_r1_d6_s45,45,medium_risk_z_anchor,z_r1_d6,ideal_shot,1024,10,-0.004,"[-0.007, -0.001]",-0.0037099999999999,"[-0.009, 0.001]",5000
MNIST_QNN_z_r1_d6_s45,45,medium_risk_z_anchor,z_r1_d6,noisy_shot,128,10,-0.039,"[-0.054, -0.025]",-0.0084199999999999,"[-0.023, 0.004]",5000
MNIST_QNN_z_r1_d6_s45,45,medium_risk_z_anchor,z_r1_d6,noisy_shot,512,10,-0.022,"[-0.030, -0.014]",-0.0116899999999999,"[-0.024, 0.002]",5000
MNIST_QNN_z_r1_d6_s45,45,medium_risk_z_anchor,z_r1_d6,noisy_shot,1024,10,-0.012,"[-0.017, -0.006]",-0.0055599999999999,"[-0.013, 0.002]",5000
MNIST_QNN_zz_r1_d6_s43,43,medium_risk_zz_repetition_baseline,zz_r1_d6,ideal_shot,128,10,-0.026,"[-0.046, -0.006]",-0.0063,"[-0.018, 0.006]",5000
MNIST_QNN_zz_r1_d6_s43,43,medium_risk_zz_repetition_baseline,zz_r1_d6,ideal_shot,512,10,0.005,"[-0.004, 0.015]",-0.0024900000000001,"[-0.012, 0.008]",5000
MNIST_QNN_zz_r1_d6_s43,43,medium_risk_zz_repetition_baseline,zz_r1_d6,ideal_shot,1024,10,0.005,"[-0.002, 0.013]",9.999999999921184e-06,"[-0.006, 0.006]",5000
MNIST_QNN_zz_r1_d6_s43,43,medium_risk_zz_repetition_baseline,zz_r1_d6,noisy_shot,128,10,-0.039,"[-0.059, -0.022]",-0.01727,"[-0.032, -0.002]",5000
MNIST_QNN_zz_r1_d6_s43,43,medium_risk_zz_repetition_baseline,zz_r1_d6,noisy_shot,512,10,-0.005,"[-0.014, 0.003]",-0.01647,"[-0.026, -0.007]",5000
MNIST_QNN_zz_r1_d6_s43,43,medium_risk_zz_repetition_baseline,zz_r1_d6,noisy_shot,1024,10,0.008,"[0.000, 0.016]",-0.01391,"[-0.020, -0.008]",5000
MNIST_QNN_zz_r1_d6_s44,44,medium_risk_zz_repetition_baseline,zz_r1_d6,ideal_shot,128,10,-0.0029999999999999,"[-0.015, 0.008]",-0.0046799999999999,"[-0.021, 0.013]",5000
MNIST_QNN_zz_r1_d6_s44,44,medium_risk_zz_repetition_baseline,zz_r1_d6,ideal_shot,512,10,-0.004,"[-0.011, 0.004]",-0.0058299999999999,"[-0.010, -0.002]",5000
