scope,scope_id,scheme,mode,shots,simulator_seed,attack,reference_count,n_member,n_nonmember,auc,advantage,tpr_at_0_1pct_fpr,attained_fpr_at_0_1pct_fpr,tpr_at_1pct_fpr,attained_fpr_at_1pct_fpr,tpr_at_5pct_fpr,attained_fpr_at_5pct_fpr
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,ideal_shot,128,1,empirical_channel_lira,16,200,200,0.475375,0.025000000000000022,0.01,0.0,0.03,0.01,0.07,0.05
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,0,noise_augmented_lira,16,600,600,0.48532222222222227,0.015000000000000013,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.03333333333333333,0.045
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,ideal_shot,128,0,noise_augmented_lira,16,200,200,0.483,0.04500000000000004,0.0,0.0,0.01,0.005,0.025,0.045
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,ideal_shot,128,0,noise_augmented_lira,16,200,200,0.47515,0.03500000000000003,0.0,0.0,0.0,0.0,0.02,0.035
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,ideal_shot,128,0,noise_augmented_lira,16,200,200,0.501275,0.06,0.0,0.0,0.005,0.005,0.06,0.05
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,1,noise_augmented_lira,16,600,600,0.5108305555555556,0.040000000000000036,0.0016666666666666668,0.0,0.008333333333333333,0.008333333333333333,0.06,0.04833333333333333
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,ideal_shot,128,1,noise_augmented_lira,16,200,200,0.513775,0.08000000000000007,0.0,0.0,0.0,0.0,0.04,0.05
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,ideal_shot,128,1,noise_augmented_lira,16,200,200,0.525575,0.08999999999999997,0.0,0.0,0.025,0.01,0.075,0.05
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,ideal_shot,128,1,noise_augmented_lira,16,200,200,0.49285,0.04,0.015,0.0,0.015,0.0,0.09,0.05
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,0,target_crossfit_learned_mia,0,600,600,0.5020944444444444,0.030000000000000027,0.0016666666666666668,0.0,0.021666666666666667,0.01,0.06333333333333334,0.04666666666666667
